month,year,topic,topic_id,rank,count,total_articles,percentage
2,2015,court/police,0,1,226,1000,22.6
2,2015,stocks/woman,2,2,207,1000,20.7
2,2015,gop/state,4,3,197,1000,19.7
3,2015,court/police,0,1,226,1000,22.6
3,2015,stocks/woman,2,2,207,1000,20.7
3,2015,gop/state,4,3,197,1000,19.7
4,2015,police/shooting,1,1,236,1000,23.599999999999998
4,2015,latest/year,2,2,200,1000,20.0
4,2015,house/obama,3,3,196,1000,19.6
5,2015,police/shooting,1,1,236,1000,23.599999999999998
5,2015,latest/year,2,2,200,1000,20.0
5,2015,house/obama,3,3,196,1000,19.6
6,2015,police/shooting,1,1,236,1000,23.599999999999998
6,2015,latest/year,2,2,200,1000,20.0
6,2015,house/obama,3,3,196,1000,19.6
7,2015,case/year,0,1,218,1000,21.8
7,2015,death/police,1,2,207,1000,20.7
7,2015,clinton/trump,3,3,198,1000,19.8
8,2015,case/year,0,1,218,1000,21.8
8,2015,death/police,1,2,207,1000,20.7
8,2015,clinton/trump,3,3,198,1000,19.8
9,2015,case/year,0,1,218,1000,21.8
9,2015,death/police,1,2,207,1000,20.7
9,2015,clinton/trump,3,3,198,1000,19.8
10,2015,killed/shooting,1,1,219,1000,21.9
10,2015,court/police,4,2,206,1000,20.599999999999998
10,2015,latest/police,3,3,203,1000,20.3
11,2015,killed/shooting,1,1,219,1000,21.9
11,2015,court/police,4,2,206,1000,20.599999999999998
11,2015,latest/police,3,3,203,1000,20.3
12,2015,killed/shooting,1,1,219,1000,21.9
12,2015,court/police,4,2,206,1000,20.599999999999998
12,2015,latest/police,3,3,203,1000,20.3
1,2016,man/police,3,1,243,1000,24.3
1,2016,president/state,0,2,215,1000,21.5
1,2016,court/trump,1,3,200,1000,20.0
2,2016,man/police,3,1,243,1000,24.3
2,2016,president/state,0,2,215,1000,21.5
2,2016,court/trump,1,3,200,1000,20.0
3,2016,man/police,3,1,243,1000,24.3
3,2016,president/state,0,2,215,1000,21.5
3,2016,court/trump,1,3,200,1000,20.0
4,2016,police/shooting,1,1,239,1000,23.9
4,2016,obama/trump,0,2,199,1000,19.900000000000002
4,2016,killed/state,2,3,196,1000,19.6
5,2016,police/shooting,1,1,239,1000,23.9
