month,year,topic,rank,count,total_articles,percentage
2,2015,"LEADER,10",1,12,1000,1.2
2,2015,"TAX_FNCACT_PRESIDENT,10",2,9,1000,0.8999999999999999
2,2015,"TAX_FNCACT,383",3,8,1000,0.8
3,2015,"TAX_FNCACT_POLICE,7",1,9,1000,0.8999999999999999
3,2015,"SECURITY_SERVICES,7",2,8,1000,0.8
3,2015,"TAX_WORLDMAMMALS_FOX,4",3,5,1000,0.5
4,2015,"TAX_WORLDMAMMALS_FOX,4",1,5,1000,0.5
4,2015,"LEADER,157",2,5,1000,0.5
4,2015,"TAX_FNCACT_AUTHORITIES,12",3,5,1000,0.5
5,2015,"LEADER,10",1,7,1000,0.7000000000000001
5,2015,"TAX_FNCACT_PRESIDENT,10",2,7,1000,0.7000000000000001
5,2015,"TAX_WORLDLANGUAGES_RUSSIA,15",3,7,1000,0.7000000000000001
6,2015,"TAX_WORLDLANGUAGES_RUSSIA,15",1,8,1000,0.8
6,2015,"LEADER,10",2,6,1000,0.6
6,2015,"TAX_FNCACT_PRESIDENT,10",3,6,1000,0.6
7,2015,"LEADER,10",1,8,1000,0.8
7,2015,"TAX_FNCACT_PRESIDENT,10",2,8,1000,0.8
7,2015,"USPEC_POLITICS_GENERAL1,10",3,7,1000,0.7000000000000001
8,2015,"TAX_WORLDLANGUAGES_RUSSIA,15",1,8,1000,0.8
8,2015,"ARMEDCONFLICT,150",2,5,1000,0.5
8,2015,"CRISISLEX_C07_SAFETY,46",3,5,1000,0.5
9,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",1,10,1000,1.0
9,2015,"USPEC_POLITICS_GENERAL1,11",2,10,1000,1.0
9,2015,"TAX_FNCACT_CANDIDATE,34",3,8,1000,0.8
10,2015,"TAX_WORLDLANGUAGES_RUSSIA,15",1,5,1000,0.5
10,2015,"USPEC_POLITICS_GENERAL1,44",2,4,1000,0.4
10,2015,"CRISISLEX_C07_SAFETY,286",3,4,1000,0.4
11,2015,"TAX_WORLDLANGUAGES_RUSSIA,15",1,7,1000,0.7000000000000001
11,2015,"CRISISLEX_CRISISLEXREC,88",2,5,1000,0.5
11,2015,"LEADER,10",3,5,1000,0.5
12,2015,"SECURITY_SERVICES,7",1,8,1000,0.8
12,2015,"TAX_FNCACT_POLICE,7",2,8,1000,0.8
12,2015,"CRISISLEX_C07_SAFETY,7",3,8,1000,0.8
1,2016,"LEADER,10",1,8,1000,0.8
1,2016,"USPEC_POLITICS_GENERAL1,10",2,7,1000,0.7000000000000001
1,2016,"TAX_FNCACT_PRESIDENT,10",3,6,1000,0.6
2,2016,"TAX_WORLDLANGUAGES_RUSSIA,15",1,6,1000,0.6
2,2016,"TAX_FNCACT_MAN,6",2,5,1000,0.5
2,2016,"USPEC_POLITICS_GENERAL1,44",3,5,1000,0.5
3,2016,"TAX_WORLDLANGUAGES_RUSSIA,15",1,7,1000,0.7000000000000001
3,2016,"LEADER,10",2,6,1000,0.6
3,2016,"CRISISLEX_C07_SAFETY,41",3,6,1000,0.6
4,2016,"USPEC_POLITICS_GENERAL1,43",1,6,1000,0.6
4,2016,"CRISISLEX_C07_SAFETY,47",2,4,1000,0.4
4,2016,"USPEC_POLITICS_GENERAL1,62",3,4,1000,0.4
5,2016,"LEADER,915",1,5,1000,0.5
5,2016,"USPEC_POLITICS_GENERAL1,142",2,4,1000,0.4
5,2016,"KILL,77",3,4,1000,0.4
6,2016,"USPEC_POLITICS_GENERAL1,9",1,9,1000,0.8999999999999999
6,2016,"LEADER,9",2,8,1000,0.8
6,2016,"TAX_FNCACT_PRESIDENT,9",3,8,1000,0.8
7,2016,"USPEC_POLITICS_GENERAL1,9",1,6,1000,0.6
7,2016,"LEADER,9",2,5,1000,0.5
7,2016,"TAX_FNCACT_PRESIDENT,9",3,5,1000,0.5
8,2016,"USPEC_POLITICS_GENERAL1,10",1,7,1000,0.7000000000000001
8,2016,"CRISISLEX_CRISISLEXREC,77",2,5,1000,0.5
8,2016,"TAX_ETHNICITY_GERMAN,30",3,5,1000,0.5
9,2016,"ECON_ENTREPRENEURSHIP,16",1,29,1000,2.9000000000000004
9,2016,"SOC_GENERALCRIME,8",2,11,1000,1.0999999999999999
9,2016,"RELIGION,8",3,8,1000,0.8
10,2016,"ECON_ENTREPRENEURSHIP,16",1,31,1000,3.1
10,2016,"SOC_GENERALCRIME,8",2,24,1000,2.4
10,2016,"RELIGION,8",3,9,1000,0.8999999999999999
11,2016,"ELECTION,9",1,12,1000,1.2
11,2016,"RELIGION,8",2,12,1000,1.2
11,2016,"GENERAL_HEALTH,6",3,9,1000,0.8999999999999999
12,2016,"USPEC_POLITICS_GENERAL1,8",1,127,1000,12.7
12,2016,"MEDICAL,6",2,24,1000,2.4
12,2016,"GENERAL_HEALTH,6",3,21,1000,2.1
1,2017,"USPEC_POLITICS_GENERAL1,8",1,124,1000,12.4
1,2017,"GENERAL_HEALTH,6",2,12,1000,1.2
1,2017,"MEDICAL,6",3,12,1000,1.2
2,2017,"MEDIA_SOCIAL,2274",1,38,1000,3.8
2,2017,"BULLYING,586",2,38,1000,3.8
2,2017,"EDUCATION,3253",3,37,1000,3.6999999999999997
3,2017,"USPEC_POLITICS_GENERAL1,9",1,24,1000,2.4
3,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,6",2,23,1000,2.3
3,2017,"SOC_GENERALCRIME,6",3,22,1000,2.1999999999999997
4,2017,"SOC_GENERALCRIME,6",1,27,1000,2.7
4,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,6",2,27,1000,2.7
4,2017,"LEADER,10",3,15,1000,1.5
5,2017,"SOC_GENERALCRIME,5",1,51,1000,5.1
5,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,5",2,51,1000,5.1
5,2017,"EPU_POLICY_WHITE_HOUSE,11",3,18,1000,1.7999999999999998
6,2017,"SOC_GENERALCRIME,5",1,107,1000,10.7
6,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,5",2,107,1000,10.7
6,2017,"WB_2433_CONFLICT_AND_VIOLENCE,9",3,24,1000,2.4
7,2017,"SOC_GENERALCRIME,5",1,84,1000,8.4
7,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,5",2,84,1000,8.4
7,2017,"EPU_POLICY_WHITE_HOUSE,11",3,25,1000,2.5
8,2017,"SOC_GENERALCRIME,5",1,70,1000,7.000000000000001
8,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,5",2,70,1000,7.000000000000001
8,2017,"EPU_POLICY_WHITE_HOUSE,11",3,17,1000,1.7000000000000002
9,2017,"SOC_GENERALCRIME,5",1,34,1000,3.4000000000000004
9,2017,"EPU_CATS_MIGRATION_FEAR_FEAR,5",2,34,1000,3.4000000000000004
9,2017,"NATURAL_DISASTER_HURRICANES,10",3,27,1000,2.7
10,2017,"TAX_FNCACT_MAN,3",1,16,1000,1.6
10,2017,"LEADER,10",2,9,1000,0.8999999999999999
