Country,Location,2011 [4],2012 [5],2013 [6],2014 [7],2015 [8],2016 [9],2017 [10],2018 [11],2019 [12],2020 [13],2021 [14],2023 [15],Main article
Afghanistan,Central Asia,2w,2w,2w,2,2,2w,2,2,2w,3,3,3,Human trafficking in Afghanistan
Albania,Southeast Europe,2,2,2w,2,2,2,2,2,2,2,2,2,Human trafficking in Albania
Algeria,Northeast Africa,3,3,3,3,3,3,2w,2w,2w,3,3,3,Human trafficking in Algeria
Angola,Central Africa,2w,2w,2w,2w,2,2,2,2w,2w,2,2,2,Human trafficking in Angola
Antigua and Barbuda,Caribbean Sea,2,2,2w,2,2w,2w,2w,2,2,2,2,2,Human trafficking in Antigua and Barbuda
Argentina,South America,2,2,2,2,2,2,2,1,1,1,1,1,Human trafficking in Argentina
Armenia,Eurasia,2,2,1,1,1,1,1,2,2,2w,2,2,Human trafficking in Armenia
Aruba,Caribbean Sea,2,2,2,2,2,2,2,1,2,2w,2w,2,
Australia,Oceania,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in Australia
Austria,Central Europe,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in Austria
Azerbaijan,Eurasia,2w,2w,2,2,2,2,2,2,2w,2w,2w,2,Human trafficking in Azerbaijan
Bahamas,Atlantic Ocean,2w,2w,2,2,1,1,1,1,1,1,1,1,Human trafficking in the Bahamas
Bahrain,Western Asia,2,2w,2w,2w,2,2,2,1,1,1,1,1,Human trafficking in Bahrain
Bangladesh,South Asia,2w,2,2,2,2,2,2w,2w,2w,2,2,2,Human trafficking in Bangladesh
Barbados,Lesser Antilles,2w,2w,2w,2,2,2,2,2,2w,2w,2w,2,Human trafficking in Barbados
Belarus,Eastern Europe,2,2w,2w,2w,3,3,3,3,3,3,2w,3,Human trafficking in Belarus
Belgium,Western Europe,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in Belgium
Belize,Central America,2,2,2,2w,3,3,3,3,2w,2w,2w,2,Human trafficking in Belize
Benin,West Africa,2,2,2,2,2,2w,2w,2,2,2,2,2,Human trafficking in Benin
Bhutan,South Asia,-,-,2,2,2,2,2,2w,3,2w,2w,2,
Bolivia,South America,2,2,2,2w,2w,2w,2w,3,2w,2,2,2w,Human trafficking in Bolivia
Bosnia and Herzegovina,Central / Southeast Europe,1,2,2,2w,2,2,2,2w,2w,2w,2,2,Human trafficking in Bosnia and Herzegovina
Botswana,Southern Africa,2,2,2,2w,2w,2,2,2,2,2,2,2w,Human trafficking in Botswana
Brazil,South America,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Brazil
Brunei,Southeast Asia,2w,2,2,2,2,2,2,2,2w,2w,2w,2w,Human trafficking in Brunei
Bulgaria,Eastern Europe,2,2,2,2,2w,2w,2w,2,2,2,2,2w,Human trafficking in Bulgaria
Burkina Faso,Western Africa,2,2,2,2,2w,2,2w,2,2,2,2w,2,Human trafficking in Burkina Faso
Burma,Southeast Asia,3,2w,2w,2w,2w,3,2w,3,3,3,3,3,Human trafficking in Burma
Burundi,Eastern Africa,2w,2w,2w,2w,3,3,3,3,3,3,2w,2,Human trafficking in Burundi
Cambodia,Southeast Asia,2,2,2w,2w,2w,2,2,2,2w,2w,2w,3,Human trafficking in Cambodia
Cameroon,Western Africa,2w,2,2,2,2,2w,2w,2,2,2w,2w,2,Human trafficking in Cameroon
Canada,North America,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in Canada
Cape Verde,Atlantic Ocean,-,2,2,2,2,2w,2w,2,2,2,2,2,
Central African Republic,Central Africa,3,3,3,3,3,3,3,2w,2w,2,2,2,Human trafficking in the Central African Republic
Chad,Central Africa,2w,2w,2w,2,2,2,2w,2w,2,2w,2w,3,Human trafficking in Chad
Chile,South America,2,2,2,1,1,1,1,1,1,1,1,1,Human trafficking in Chile
"China, People's Republic",East Asia,2w,2w,3,2w,2w,2w,3,3,3,3,3,3,Human trafficking in China
Colombia,South America,1,1,1,2,2,1,1,1,1,1,1,1,Human trafficking in Colombia
Comoros,Indian Ocean,2w,2w,2w,2w,3,3,3,3,3,3,3,2,
"Congo, Democratic Republic of the",Central Africa,3,3,3,3,2w,2w,3,3,3,2w,2w,2,Human trafficking in the Democratic Republic of the Congo
"Congo, Republic of the",Central Africa,2w,2w,2,2,2w,2w,3,3,2w,2,2,2w,Human trafficking in the Republic of the Congo
Costa Rica,Central America,2w,2,2,2,2w,2w,2,2,2,2,2,2,Human trafficking in Costa Rica
Côte d'Ivoire,West Africa,-,2,2,2,2,2w,2,2,2,2,2,2,Human trafficking in Côte d'Ivoire
Croatia,Central Europe,1,1,2,2,2,2,2,2,2,2,2,2,Human trafficking in Croatia
Cuba,Caribbean Sea,3,3,3,3,2w,2w,2w,2w,3,3,3,3,Human trafficking in Cuba
Curaçao,Caribbean Sea,2w,2,2,2,2,2,2,2,2w,2w,2w,3,
Cyprus,Eastern Mediterranean,2w,2,2,2w,2,1,2,1,1,1,2,1,Human trafficking in Cyprus
Czech Republic,Central Europe,2,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in the Czech Republic
Denmark,Northern Europe,1,1,1,1,1,1,1,1,2,2,2,1,Human trafficking in Denmark
Djibouti,Horn of Africa,2,2w,2w,2w,2w,3,2w,2,2,2,2w,3,Human trafficking in Djibouti
Dominican Republic,Hispaniola,3,2,2,2,2,2,2,2,2,2w,2,2w,Human trafficking in the Dominican Republic
Ecuador,South America,2w,2w,2,2,2,2,2,2,2,2,2,2,Human trafficking in Ecuador
Egypt,North Africa,2,2,2,2,2w,2,2,2,2,2,2,2w,Human trafficking in Egypt
El Salvador,Central America,2,2,2,2,2,2,2,2,2,2,2,2w,Human trafficking in El Salvador
Equatorial Guinea,Middle Africa,3,3,3,3,3,3,3,3,3,2w,2w,3,Human trafficking in Equatorial Guinea
Eritrea,Horn of Africa,3,3,3,3,3,3,3,3,3,3,3,3,Human trafficking in Eritrea
Estonia,Northern Europe,2w,2,2,2,2,2,2,1,1,1,1,1,
Eswatini,Southern Africa,2,2,2,2,2,2w,2w,2w,2,2,2,2w,Human trafficking in Eswatini
