Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Albania,2010,42.6540298461914,4094.34968570481,38.3886260986328,2913021.0,75.0,14.086
Albania,2011,41.3145523071289,4437.14116097061,37.4407577514648,2905195.0,79.0,13.481
Albania,2012,39.9061050415039,4247.63134315945,40.2843589782715,2900401.0,84.0,13.376
Albania,2013,38.9671363830566,4413.06338346821,49.2891006469727,2895092.0,96.0,15.866
Albania,2014,44.230770111084,4578.63320812155,61.4285697937012,2889104.0,111.0,18.055
Albania,2015,44.2857131958008,3952.80357364813,58.0952377319336,2880703.0,109.0,17.193
Albania,2016,41.9047622680664,4124.05538986272,57.6190490722656,2876101.0,141.0,15.418
Albania,2017,38.5714302062988,4531.03220675893,59.523811340332,2873457.0,124.0,13.616
Albania,2018,37.1428565979004,5287.66080067575,58.4905662536621,2866376.0,132.0,12.304
Albania,2019,38.0952377319336,5396.2142432843,51.886791229248,2854191.0,120.0,11.466
Albania,2020,40.0,5343.0377039956,50.0,2837849.0,105.0,
Albania,2021,42.8571434020996,6377.20309553753,52.3584899902344,2811666.0,109.0,
Albania,2022,47.1698112487793,6810.11404104233,49.5283012390137,2777689.0,2676.0,
Andorra,2010,86.7298583984375,48237.8911738235,93.8388595581055,71519.0,,
Andorra,2011,89.2018814086914,51428.1969515188,95.7345962524414,70567.0,,
Andorra,2012,89.2018814086914,44902.3807663645,94.7867279052734,71013.0,,
Andorra,2013,88.7323913574219,44747.7538641695,93.8388595581055,71367.0,,
Andorra,2014,90.3846130371094,45680.5349920165,96.6666641235352,71621.0,,
Andorra,2015,90.0,38885.5303222983,97.6190490722656,71746.0,,
Andorra,2016,90.9523773193359,39931.2169800216,97.1428604125977,72540.0,,
Andorra,2017,90.476188659668,40632.2315521995,97.1428604125977,73837.0,,
Andorra,2018,90.9523773193359,42904.8284559223,97.1698150634766,75013.0,,
Andorra,2019,90.9523773193359,41328.6004978373,98.5849075317383,76343.0,,
Andorra,2020,92.8571395874023,37207.2219994994,99.0566024780273,77700.0,,
Andorra,2021,93.3333358764648,42066.4905178822,98.5849075317383,79034.0,,
Andorra,2022,90.5660400390625,42350.6970690874,98.5849075317383,79824.0,,
Armenia,2010,37.9146919250488,3143.0294799683,49.7630348205566,2946293.0,3292.0,19.523
Armenia,2011,41.7840385437012,3462.68177840431,44.0758285522461,2928976.0,2913.0,18.884
Armenia,2012,42.2535209655762,3643.71540108565,51.1848335266113,2914421.0,2849.0,17.511
Armenia,2013,45.0704231262207,3833.15707396348,50.2369651794434,2901385.0,13727.0,16.576
Armenia,2014,38.461540222168,4017.22991449473,35.7142868041992,2889930.0,17635.0,17.499
Armenia,2015,38.5714302062988,3666.14182210905,37.1428565979004,2878595.0,19314.0,18.261
Armenia,2016,49.0476188659668,3679.95234740376,22.380952835083,2865835.0,17883.0,17.617
Armenia,2017,46.1904754638672,4041.99507105058,25.238094329834,2851923.0,17968.0,17.705
Armenia,2018,48.0952377319336,4391.92326991474,29.7169818878174,2836557.0,17966.0,10.589
Armenia,2019,48.5714302062988,4828.50488626598,30.1886787414551,2820602.0,17980.0,9.794
Armenia,2020,49.523811340332,4505.86774175695,20.2830181121826,2805608.0,107910.0,8.055
Armenia,2021,48.0952377319336,4972.78320361917,18.8679237365723,2790974.0,34728.0,8.418
