Country,Visa_free_destinations
Afghanistan,26
Albania,123
Algeria,55
Andorra,171
Angola,52
Antigua and Barbuda,153
Argentina,172
Armenia,68
Australia,189
Austria,191
Azerbaijan,71
Bahamas,161
Bahrain,87
Bangladesh,40
Barbados,165
Belarus,81
Belgium,190
Belize,102
Benin,64
Bhutan,52
Bolivia,80
Bosnia and Herzegovina,123
Botswana,88
Brazil,171
Brunei,166
Bulgaria,177
Burkina Faso,60
Burundi,50
Cambodia,53
Cameroon,50
Canada,187
Cape Verde,69
Central African Republic,53
Chad,53
Chile,175
China,85
Colombia,134
Comoros,54
Congo,50
Costa Rica,151
Croatia,183
Cuba,62
Cyprus,178
Czech Republic,189
DR Congo,46
Denmark,190
Djibouti,49
Dominica,143
Dominican Republic,75
East Timor,97
Ecuador,95
Egypt,52
El Salvador,136
Equatorial Guinea,57
Eritrea,42
Estonia,185
Eswatini,77
Ethiopia,46
Fiji,90
Finland,191
France,192
Gabon,60
Gambia,71
Georgia,122
Germany,192
Ghana,68
Greece,188
Grenada,147
Guatemala,135
Guinea,59
Guinea-Bissau,55
Guyana,89
Haiti,53
Honduras,133
Hong Kong,170
Hungary,187
Iceland,184
India,58
Indonesia,76
Iran,43
Iraq,31
Ireland,191
Israel,170
Italy,192
Ivory Coast,59
Jamaica,89
Japan,192
Jordan,55
Kazakhstan,77
Kenya,75
Kiribati,124
Kosovo,79
Kuwait,99
Kyrgyzstan,64
Laos,49
Latvia,184
Lebanon,45
Lesotho,79
Liberia,51
Libya,39
Liechtenstein,182
Lithuania,185
Luxembourg,191
Macau,143
Madagascar,60
Malawi,75
Malaysia,182
Maldives,94
Mali,55
Malta,187
Marshall Islands,129
Mauritania,57
Mauritius,150
Mexico,159
Micronesia,124
Moldova,122
Monaco,178
Mongolia,64
Montenegro,128
Morocco,72
Mozambique,64
Myanmar,45
Namibia,81
Nauru,89
Nepal,39
Netherlands,191
New Zealand,190
Nicaragua,128
Niger,57
Nigeria,45
North Korea,41
North Macedonia,128
Norway,190
Oman,86
Pakistan,33
Palau,124
Palestinian Authority,40
Panama,149
Papua New Guinea,85
Paraguay,147
Peru,141
Philippines,67
Poland,188
Portugal,189
Qatar,107
Romania,177
Russia,116
Rwanda,65
Saint Kitts and Nevis,157
Saint Lucia,148
Saint Vincent and the Grenadines,157
Samoa,131
San Marino,172
Saudi Arabia,88
Senegal,58
Serbia,140
Seychelles,156
Sierra Leone,66
Singapore,195
Slovakia,184
Slovenia,184
Solomon Islands,134
Somalia,35
South Africa,106
South Korea,191
South Sudan,44
Spain,192
Sri Lanka,44
Sudan,43
Suriname,79
Sweden,191
Switzerland,190
Syria,28
São Tomé and Príncipe,63
Taiwan,141
Tajikistan,58
Tanzania,73
Thailand,82
Togo,61
Tonga,131
Trinidad and Tobago,151
Tunisia,69
Turkey,116
Turkmenistan,50
Tuvalu,128
Uganda,70
Ukraine,148
United Arab Emirates,185
United Kingdom,190
United States,186
Uruguay,157
Uzbekistan,62
Vanuatu,92
Vatican City,155
Venezuela,124
Vietnam,51
Yemen,33
Zambia,70
Zimbabwe,65
