State,ban_type,life,health,rape_incest,rape_incest_law_enforcement,rape_incest_time_limit,lethal_fetal_anomoly,lethal_fetal_anomoly_time_limit,reasonable_medical_judgment,good_faith_clinical_judgment,good_faith_medical_judgment,none_stated
Alabama,total,1,1,0,0,0,1,0,1,0,0,0
Alaska,no ban in effect,,,,,,,,,,,
Arizona,15-week,1,1,0,0,0,0,0,0,1,0,0
Arkansas,total,1,0,0,0,0,0,0,0,0,0,1
Arkansas,12-week,1,1,1,0,0,1,0,1,0,0,0
California,no ban in effect,,,,,,,,,,,
Colorado,no ban in effect,,,,,,,,,,,
Connecticut,no ban in effect,,,,,,,,,,,
Delaware,no ban in effect,,,,,,,,,,,
District of Columbia,no ban in effect,,,,,,,,,,,
Florida,6-week,1,1,1,1,1,1,1,1,0,0,0
Georgia,6-week,1,1,1,1,1,1,0,1,0,0,0
Hawaii,no ban in effect,,,,,,,,,,,
Idaho,total,1,0,1,1,0,0,0,0,0,1,0
Idaho,6-week,1,1,0,0,0,1,0,1,0,0,0
Illinois,no ban in effect,,,,,,,,,,,
Indiana,total,1,1,1,0,1,1,1,,0,0,0
Iowa,6-week,1,1,1,1,1,1,1,1,0,0,0
Kansas,no ban in effect,,,,,,,,,,,
Kentucky,total,1,1,0,0,0,0,0,1,0,0,0
Kentucky,15-week,1,1,0,0,0,0,0,1,0,0,0
Louisiana,total,1,1,0,0,0,0,0,1,0,0,0
Louisiana,total,1,1,0,0,0,1,0,1,0,1,0
Maine,no ban in effect,,,,,,,,,,,
Maryland,no ban in effect,,,,,,,,,,,
Massachussetts,no ban in effect,,,,,,,,,,,
Michigan,no ban in effect,,,,,,,,,,,
Minnesota,no ban in effect,,,,,,,,,,,
Mississippi,total,1,0,1,1,0,0,0,0,0,0,1
Mississippi,6-week,1,1,0,0,0,0,0,1,0,0,0
Mississippi,15-week,1,1,0,0,0,1,0,0,0,1,0
Missouri,total,1,1,0,0,0,0,0,1,0,0,0
Montana,no ban in effect,,,,,,,,,,,
Nebraska,12-week,1,1,0,0,0,0,0,1,0,0,0
Nevada,no ban in effect,,,,,,,,,,,
New Hampshire,no ban in effect,,,,,,,,,,,
New Jersey,no ban in effect,,,,,,,,,,,
New Mexico,no ban in effect,,,,,,,,,,,
New York,no ban in effect,,,,,,,,,,,
North Carolina,12-week,1,1,1,0,1,1,1,1,0,0,0
North Dakota,no ban in effect,,,,,,,,,,,
Ohio,no ban in effect,,,,,,,,,,,
Oklahoma,total,1,0,0,0,0,0,0,0,0,0,1
Oregon,no ban in effect,,,,,,,,,,,
Pennsylvania,no ban in effect,,,,,,,,,,,
Rhode Island,no ban in effect,,,,,,,,,,,
South Carolina,6-week,1,1,1,1,1,1,0,1,0,0,0
South Dakota,total,1,0,0,0,0,0,0,1,0,0,0
Tennessee,total,1,1,0,0,0,0,0,1,0,0,0
Texas,total,1,0,0,0,0,0,0,1,0,0,0
Texas,6-week,1,0,0,0,0,0,0,0,0,0,1
Texas,total revised,1,0,0,0,0,0,0,0,0,0,1
Utah,no ban in effect,,,,,,,,,,,
Vermont,no ban in effect,,,,,,,,,,,
Virginia,no ban in effect,,,,,,,,,,,
Washington,no ban in effect,,,,,,,,,,,
West Virginia,total,1,1,1,1,1,1,0,1,0,0,0
Wisconsin ,no ban in effect,,,,,,,,,,,
Wyoming,no ban in effect,,,,,,,,,,,
US,,28,20,10,7,7,12,4,19,1,3,5
