media,week,gdelt_tone
abc,2015-02-16/2015-02-22,-2.914071278486704
abc,2015-02-23/2015-03-01,-2.895247107447587
abc,2015-03-02/2015-03-08,-2.978755492543656
abc,2015-03-09/2015-03-15,-2.99943205961461
abc,2015-03-16/2015-03-22,-3.0770812127275637
abc,2015-03-23/2015-03-29,-2.438944656698639
abc,2015-03-30/2015-04-05,-2.8986837665180114
abc,2015-04-06/2015-04-12,-2.950361603098142
abc,2015-04-13/2015-04-19,-2.877556074841196
abc,2015-04-20/2015-04-26,-2.9264121763921307
abc,2015-04-27/2015-05-03,-3.2623097056623815
abc,2015-05-04/2015-05-10,-2.96749660896153
abc,2015-05-11/2015-05-17,-3.2556843899061625
abc,2015-05-18/2015-05-24,-2.994110424522086
abc,2015-05-25/2015-05-31,-3.191661276882386
abc,2015-06-01/2015-06-07,-3.000539002313975
abc,2015-06-08/2015-06-14,-2.897337074887337
abc,2015-06-15/2015-06-21,-2.884595097272571
abc,2015-06-22/2015-06-28,-2.7768834048606768
abc,2015-06-29/2015-07-05,-2.8064635652860956
abc,2015-07-06/2015-07-12,-2.675243413123843
abc,2015-07-13/2015-07-19,-2.909157817031269
abc,2015-07-20/2015-07-26,-2.9258326547529787
abc,2015-07-27/2015-08-02,-3.1783724475579582
abc,2015-08-03/2015-08-09,-3.5142759039159333
abc,2015-08-10/2015-08-16,-3.110112205898756
abc,2015-08-17/2015-08-23,-3.50309046670387
abc,2015-08-24/2015-08-30,-3.2572325904852657
abc,2015-08-31/2015-09-06,-3.560092226137654
abc,2015-09-07/2015-09-13,-3.3408006093974794
abc,2015-09-14/2015-09-20,-2.7315790948806726
abc,2015-09-21/2015-09-27,-2.0798082730996383
abc,2015-09-28/2015-10-04,-2.8738296249139093
abc,2015-10-05/2015-10-11,-2.7779366758999844
abc,2015-10-12/2015-10-18,-3.6628477510406388
abc,2015-10-19/2015-10-25,-2.7909016634267267
abc,2015-10-26/2015-11-01,-3.094762452854152
abc,2015-11-02/2015-11-08,-3.098440326307481
abc,2015-11-09/2015-11-15,-3.2735149393897465
abc,2015-11-16/2015-11-22,-3.580212068218399
abc,2015-11-23/2015-11-29,-3.00709584252843
abc,2015-11-30/2015-12-06,-2.9083812856812683
abc,2015-12-07/2015-12-13,-3.10512137511155
abc,2015-12-14/2015-12-20,-2.6306930438666676
abc,2015-12-21/2015-12-27,-3.317507447076263
abc,2015-12-28/2016-01-03,-3.007069799909458
abc,2016-01-04/2016-01-10,-2.8882369249485884
abc,2016-01-11/2016-01-17,-2.71133609333945
abc,2016-01-18/2016-01-24,-2.831040108611677
abc,2016-01-25/2016-01-31,-2.9573370816574664
abc,2016-02-01/2016-02-07,-2.834161008279556
abc,2016-02-08/2016-02-14,-3.325362931277906
abc,2016-02-15/2016-02-21,-3.0695695927298985
abc,2016-02-22/2016-02-28,-3.215039290952176
abc,2016-02-29/2016-03-06,-3.32607904042539
abc,2016-03-07/2016-03-13,-3.172646277364817
abc,2016-03-14/2016-03-20,-2.9780243780828797
abc,2016-03-21/2016-03-27,-3.1999173708529605
abc,2016-03-28/2016-04-03,-3.3716189598604234
abc,2016-04-04/2016-04-10,-3.211538409575603
abc,2016-04-11/2016-04-17,-3.5051341474116815
abc,2016-04-18/2016-04-24,-2.63761899170443
abc,2016-04-25/2016-05-01,-2.7537756747914
abc,2016-05-02/2016-05-08,-2.603550588824561
abc,2016-05-09/2016-05-15,-2.9392092811764114
abc,2016-05-16/2016-05-22,-2.862676008107391
abc,2016-05-23/2016-05-29,-2.8750261433285544
abc,2016-05-30/2016-06-05,-2.037933201679546
abc,2016-06-06/2016-06-12,-2.428803797298232
abc,2016-06-13/2016-06-19,-3.3274946244849644
abc,2016-06-20/2016-06-26,-2.6524041947511066
abc,2016-06-27/2016-07-03,-3.373307671569599
abc,2016-07-04/2016-07-10,-2.8415222070007617
abc,2016-07-11/2016-07-17,-2.9402018483719803
abc,2016-07-18/2016-07-24,-2.8846643157289864
abc,2016-07-25/2016-07-31,-3.1056662307568437
abc,2016-08-01/2016-08-07,-3.2624048510492423
abc,2016-08-08/2016-08-14,-3.7053371912070867
abc,2016-08-15/2016-08-21,-3.6824042673606683
abc,2016-08-22/2016-08-28,-3.15501826828786
abc,2016-08-29/2016-09-04,-3.3565921998417556
abc,2016-09-05/2016-09-11,-3.163187301791654
abc,2016-09-12/2016-09-18,-3.15995837909132
abc,2016-09-19/2016-09-25,-2.6177177274367747
abc,2016-09-26/2016-10-02,-3.511961956666338
abc,2016-10-03/2016-10-09,-3.174840035866538
abc,2016-10-10/2016-10-16,-3.259007781950982
