month,year,topic,topic_id,rank,count,total_articles,percentage
2,2015,obama/says,2,1,256,1000,25.6
2,2015,killed/police,4,2,201,1000,20.1
2,2015,man/new,0,3,195,1000,19.5
3,2015,obama/says,2,1,256,1000,25.6
3,2015,killed/police,4,2,201,1000,20.1
3,2015,man/new,0,3,195,1000,19.5
4,2015,police/says,0,1,247,1000,24.7
4,2015,says/state,1,2,204,1000,20.4
4,2015,arrested/new,3,3,198,1000,19.8
5,2015,police/says,0,1,247,1000,24.7
5,2015,says/state,1,2,204,1000,20.4
5,2015,arrested/new,3,3,198,1000,19.8
6,2015,police/says,0,1,247,1000,24.7
6,2015,says/state,1,2,204,1000,20.4
6,2015,arrested/new,3,3,198,1000,19.8
7,2015,iran/says,1,1,237,1000,23.7
7,2015,killed/says,4,2,226,1000,22.6
7,2015,man/new,0,3,186,1000,18.6
8,2015,iran/says,1,1,237,1000,23.7
8,2015,killed/says,4,2,226,1000,22.6
8,2015,man/new,0,3,186,1000,18.6
9,2015,iran/says,1,1,237,1000,23.7
9,2015,killed/says,4,2,226,1000,22.6
9,2015,man/new,0,3,186,1000,18.6
10,2015,man/says,1,1,297,1000,29.7
10,2015,en/la,0,2,187,1000,18.7
10,2015,new/paris,2,3,182,1000,18.2
11,2015,man/says,1,1,297,1000,29.7
11,2015,en/la,0,2,187,1000,18.7
11,2015,new/paris,2,3,182,1000,18.2
12,2015,man/says,1,1,297,1000,29.7
12,2015,en/la,0,2,187,1000,18.7
12,2015,new/paris,2,3,182,1000,18.2
1,2016,killed/police,2,1,330,1000,33.0
1,2016,new/trump,0,2,211,1000,21.099999999999998
1,2016,obama/trump,1,3,161,1000,16.1
2,2016,killed/police,2,1,330,1000,33.0
2,2016,new/trump,0,2,211,1000,21.099999999999998
2,2016,obama/trump,1,3,161,1000,16.1
3,2016,killed/police,2,1,330,1000,33.0
3,2016,new/trump,0,2,211,1000,21.099999999999998
3,2016,obama/trump,1,3,161,1000,16.1
4,2016,man/says,2,1,404,1000,40.400000000000006
4,2016,clinton/trump,1,2,167,1000,16.7
4,2016,el/la,3,3,167,1000,16.7
5,2016,man/says,2,1,404,1000,40.400000000000006
5,2016,clinton/trump,1,2,167,1000,16.7
5,2016,el/la,3,3,167,1000,16.7
6,2016,man/says,2,1,404,1000,40.400000000000006
6,2016,clinton/trump,1,2,167,1000,16.7
6,2016,el/la,3,3,167,1000,16.7
7,2016,clinton/latest,1,1,264,1000,26.400000000000002
7,2016,la/says,0,2,223,1000,22.3
7,2016,donald trump/trump,2,3,215,1000,21.5
8,2016,clinton/latest,1,1,264,1000,26.400000000000002
8,2016,la/says,0,2,223,1000,22.3
8,2016,donald trump/trump,2,3,215,1000,21.5
9,2016,clinton/latest,1,1,264,1000,26.400000000000002
9,2016,la/says,0,2,223,1000,22.3
9,2016,donald trump/trump,2,3,215,1000,21.5
10,2016,latest/says,0,1,256,1000,25.6
10,2016,obama/trump,4,2,226,1000,22.6
10,2016,man/year,3,3,221,1000,22.1
11,2016,latest/says,0,1,256,1000,25.6
11,2016,obama/trump,4,2,226,1000,22.6
11,2016,man/year,3,3,221,1000,22.1
12,2016,latest/says,0,1,256,1000,25.6
12,2016,obama/trump,4,2,226,1000,22.6
12,2016,man/year,3,3,221,1000,22.1
1,2017,new/year,4,1,241,1000,24.099999999999998
1,2017,man/trump,2,2,221,1000,22.1
1,2017,trump/trumps,3,3,220,1000,22.0
2,2017,new/year,4,1,241,1000,24.099999999999998
2,2017,man/trump,2,2,221,1000,22.1
2,2017,trump/trumps,3,3,220,1000,22.0
3,2017,new/year,4,1,241,1000,24.099999999999998
3,2017,man/trump,2,2,221,1000,22.1
3,2017,trump/trumps,3,3,220,1000,22.0
4,2017,new/police,2,1,301,1000,30.099999999999998
4,2017,north/trump,1,2,220,1000,22.0
4,2017,case/man,3,3,174,1000,17.4
5,2017,new/police,2,1,301,1000,30.099999999999998
5,2017,north/trump,1,2,220,1000,22.0
5,2017,case/man,3,3,174,1000,17.4
6,2017,new/police,2,1,301,1000,30.099999999999998
6,2017,north/trump,1,2,220,1000,22.0
6,2017,case/man,3,3,174,1000,17.4
7,2017,trump/trumps,3,1,284,1000,28.4
7,2017,korea/north,2,2,222,1000,22.2
7,2017,latest/man,1,3,206,1000,20.599999999999998
8,2017,trump/trumps,3,1,284,1000,28.4
8,2017,korea/north,2,2,222,1000,22.2
8,2017,latest/man,1,3,206,1000,20.599999999999998
9,2017,trump/trumps,3,1,284,1000,28.4
9,2017,korea/north,2,2,222,1000,22.2
9,2017,latest/man,1,3,206,1000,20.599999999999998
10,2017,police/shooting,0,1,338,1000,33.800000000000004
10,2017,says/trump,4,2,227,1000,22.7
10,2017,new/trump,1,3,184,1000,18.4
11,2017,police/shooting,0,1,338,1000,33.800000000000004
11,2017,says/trump,4,2,227,1000,22.7
11,2017,new/trump,1,3,184,1000,18.4
12,2017,police/shooting,0,1,338,1000,33.800000000000004
12,2017,says/trump,4,2,227,1000,22.7
12,2017,new/trump,1,3,184,1000,18.4
1,2018,killed/police,0,1,274,1000,27.400000000000002
1,2018,president/trump,3,2,212,1000,21.2
1,2018,new/trump,2,3,183,1000,18.3
2,2018,killed/police,0,1,274,1000,27.400000000000002
2,2018,president/trump,3,2,212,1000,21.2
2,2018,new/trump,2,3,183,1000,18.3
3,2018,killed/police,0,1,274,1000,27.400000000000002
3,2018,president/trump,3,2,212,1000,21.2
3,2018,new/trump,2,3,183,1000,18.3
4,2018,man/trump,3,1,297,1000,29.7
4,2018,killed/police,0,2,266,1000,26.6
4,2018,says/says html,4,3,160,1000,16.0
5,2018,man/trump,3,1,297,1000,29.7
5,2018,killed/police,0,2,266,1000,26.6
5,2018,says/says html,4,3,160,1000,16.0
6,2018,man/trump,3,1,297,1000,29.7
6,2018,killed/police,0,2,266,1000,26.6
6,2018,says/says html,4,3,160,1000,16.0
7,2018,says/trump,1,1,246,1000,24.6
7,2018,kavanaugh/say,2,2,219,1000,21.9
7,2018,new/old,0,3,194,1000,19.400000000000002
8,2018,says/trump,1,1,246,1000,24.6
8,2018,kavanaugh/say,2,2,219,1000,21.9
8,2018,new/old,0,3,194,1000,19.400000000000002
9,2018,says/trump,1,1,246,1000,24.6
9,2018,kavanaugh/say,2,2,219,1000,21.9
9,2018,new/old,0,3,194,1000,19.400000000000002
10,2018,house/trump,3,1,213,1000,21.3
10,2018,report/trump,0,2,212,1000,21.2
10,2018,death/killed,4,3,204,1000,20.4
11,2018,house/trump,3,1,213,1000,21.3
11,2018,report/trump,0,2,212,1000,21.2
11,2018,death/killed,4,3,204,1000,20.4
12,2018,house/trump,3,1,213,1000,21.3
12,2018,report/trump,0,2,212,1000,21.2
12,2018,death/killed,4,3,204,1000,20.4
1,2019,man/woman,4,1,233,1000,23.3
1,2019,says/trump,1,2,207,1000,20.7
1,2019,court/police,2,3,206,1000,20.599999999999998
2,2019,man/woman,4,1,233,1000,23.3
2,2019,says/trump,1,2,207,1000,20.7
2,2019,court/police,2,3,206,1000,20.599999999999998
3,2019,man/woman,4,1,233,1000,23.3
3,2019,says/trump,1,2,207,1000,20.7
3,2019,court/police,2,3,206,1000,20.599999999999998
4,2019,biden/trump,1,1,229,1000,22.900000000000002
4,2019,man/police,3,2,205,1000,20.5
4,2019,dead/latest,0,3,205,1000,20.5
5,2019,biden/trump,1,1,229,1000,22.900000000000002
5,2019,man/police,3,2,205,1000,20.5
5,2019,dead/latest,0,3,205,1000,20.5
6,2019,biden/trump,1,1,229,1000,22.900000000000002
6,2019,man/police,3,2,205,1000,20.5
6,2019,dead/latest,0,3,205,1000,20.5
7,2019,democrats/trump,1,1,257,1000,25.7
7,2019,man/police,3,2,235,1000,23.5
7,2019,gun/trump,0,3,196,1000,19.6
8,2019,democrats/trump,1,1,257,1000,25.7
8,2019,man/police,3,2,235,1000,23.5
8,2019,gun/trump,0,3,196,1000,19.6
9,2019,democrats/trump,1,1,257,1000,25.7
9,2019,man/police,3,2,235,1000,23.5
9,2019,gun/trump,0,3,196,1000,19.6
10,2019,impeachment/trump,4,1,237,1000,23.7
10,2019,christmas/new,1,2,226,1000,22.6
10,2019,florida/police,2,3,198,1000,19.8
11,2019,impeachment/trump,4,1,237,1000,23.7
11,2019,christmas/new,1,2,226,1000,22.6
11,2019,florida/police,2,3,198,1000,19.8
12,2019,impeachment/trump,4,1,237,1000,23.7
12,2019,christmas/new,1,2,226,1000,22.6
12,2019,florida/police,2,3,198,1000,19.8
1,2020,coronavirus/outbreak,2,1,273,1000,27.3
1,2020,impeachment/trump,0,2,240,1000,24.0
1,2020,new/york,1,3,165,1000,16.5
2,2020,coronavirus/outbreak,2,1,273,1000,27.3
2,2020,impeachment/trump,0,2,240,1000,24.0
2,2020,new/york,1,3,165,1000,16.5
3,2020,coronavirus/outbreak,2,1,273,1000,27.3
3,2020,impeachment/trump,0,2,240,1000,24.0
3,2020,new/york,1,3,165,1000,16.5
4,2020,coronavirus/police,1,1,301,1000,30.099999999999998
4,2020,coronavirus/trump,2,2,195,1000,19.5
4,2020,coronavirus/new,0,3,179,1000,17.9
5,2020,coronavirus/police,1,1,301,1000,30.099999999999998
5,2020,coronavirus/trump,2,2,195,1000,19.5
5,2020,coronavirus/new,0,3,179,1000,17.9
6,2020,coronavirus/police,1,1,301,1000,30.099999999999998
6,2020,coronavirus/trump,2,2,195,1000,19.5
6,2020,coronavirus/new,0,3,179,1000,17.9
7,2020,biden/trump,4,1,250,1000,25.0
7,2020,court/supreme court,3,2,211,1000,21.099999999999998
7,2020,coronavirus/police,2,3,208,1000,20.8
8,2020,biden/trump,4,1,250,1000,25.0
8,2020,court/supreme court,3,2,211,1000,21.099999999999998
8,2020,coronavirus/police,2,3,208,1000,20.8
9,2020,biden/trump,4,1,250,1000,25.0
9,2020,court/supreme court,3,2,211,1000,21.099999999999998
9,2020,coronavirus/police,2,3,208,1000,20.8
10,2020,election/trump,4,1,222,1000,22.2
10,2020,biden/trump,2,2,217,1000,21.7
10,2020,biden/trump,3,3,204,1000,20.4
11,2020,election/trump,4,1,222,1000,22.2
11,2020,biden/trump,2,2,217,1000,21.7
11,2020,biden/trump,3,3,204,1000,20.4
12,2020,election/trump,4,1,222,1000,22.2
12,2020,biden/trump,2,2,217,1000,21.7
12,2020,biden/trump,3,3,204,1000,20.4
1,2021,biden/trump,1,1,249,1000,24.9
1,2021,covid/covid 19,4,2,222,1000,22.2
1,2021,2021/meghan,2,3,191,1000,19.1
2,2021,biden/trump,1,1,249,1000,24.9
2,2021,covid/covid 19,4,2,222,1000,22.2
2,2021,2021/meghan,2,3,191,1000,19.1
