month,year,topic,topic_id,rank,count,total_articles,percentage
2,2015,awards academy academy awards,9,1,43,242,17.768595041322314
2,2015,obama giuliani keystone,0,2,33,242,13.636363636363635
2,2015,new christie chris,3,3,32,242,13.223140495867769
3,2015,ferguson police report,8,1,156,764,20.418848167539267
3,2015,court supreme supreme court,9,2,152,764,19.895287958115183
3,2015,obama netanyahu president,6,3,118,764,15.44502617801047
4,2015,baltimore freddie gray freddie,4,1,139,746,18.63270777479893
4,2015,obama lynch loretta lynch,8,2,100,746,13.404825737265416
4,2015,iran deal nuclear,2,3,87,746,11.662198391420912
5,2015,baltimore police protests,8,1,209,652,32.055214723926376
5,2015,fiorina carly carly fiorina,5,2,94,652,14.417177914110429
5,2015,obama warren elizabeth,6,3,72,652,11.042944785276074
6,2015,obama week house,7,1,125,715,17.482517482517483
6,2015,trump donald donald trump,8,2,108,715,15.104895104895105
6,2015,caitlyn caitlyn jenner jenner,6,3,101,715,14.125874125874127
7,2015,new york new york,9,1,134,787,17.026683608640404
7,2015,trump donald donald trump,0,2,89,787,11.30876747141042
7,2015,obama president ted,5,3,86,787,10.927573062261754
8,2015,obama president voting,7,1,181,723,25.03457814661134
8,2015,trump donald donald trump,0,2,94,723,13.001383125864455
8,2015,2016 race 2016 race,9,3,86,723,11.89488243430152
9,2015,climate change climate change,8,1,141,741,19.02834008097166
9,2015,gop debate gop debate,6,2,126,741,17.00404858299595
9,2015,trump donald donald trump,1,3,90,741,12.145748987854251
10,2015,shooting oregon college,8,1,140,690,20.28985507246377
10,2015,rubio bush marco,7,2,80,690,11.594202898550725
10,2015,benghazi committee benghazi committee,9,3,77,690,11.159420289855072
11,2015,obama new planned,9,1,174,645,26.976744186046513
11,2015,gop debate candidates,6,2,106,645,16.434108527131784
11,2015,paris attacks paris attacks,0,3,70,645,10.852713178294573
12,2015,2015 year political,4,1,97,667,14.54272863568216
12,2015,clinton hillary hillary clinton,7,2,87,667,13.043478260869565
12,2015,obama president president obama,6,3,76,667,11.394302848575713
1,2016,obama president president obama,8,1,169,724,23.34254143646409
1,2016,new 2016 york,6,2,120,724,16.574585635359114
1,2016,clinton hillary hillary clinton,2,3,85,724,11.740331491712707
2,2016,campaign bush jeb,9,1,177,716,24.720670391061454
2,2016,trump donald donald trump,1,2,116,716,16.201117318435752
2,2016,clinton hillary hillary clinton,4,3,79,716,11.033519553072626
3,2016,trump republicans new,6,1,130,717,18.13110181311018
3,2016,sanders clinton bernie,2,2,92,717,12.831241283124129
3,2016,trumps gop donald trumps,7,3,88,717,12.273361227336123
4,2016,court supreme supreme court,9,1,127,691,18.37916063675832
4,2016,gop convention wisconsin,8,2,106,691,15.340086830680175
4,2016,trump donald trump donald,1,3,91,691,13.16931982633864
5,2016,obama president president obama,7,1,180,740,24.324324324324326
5,2016,trump cruz vote,0,2,104,740,14.054054054054054
5,2016,2016 race new,8,3,95,740,12.837837837837837
6,2016,trump trump university university,0,1,82,432,18.98148148148148
6,2016,trumps republican donald trumps,6,2,75,432,17.36111111111111
6,2016,clinton hillary hillary clinton,2,3,63,432,14.583333333333334
7,2016,trump trump campaign trump sees,0,1,52,266,19.548872180451127
7,2016,convention republican national convention,3,2,48,266,18.045112781954884
7,2016,trumps gop vp,5,3,31,266,11.654135338345863
8,2016,trump new foreign,0,1,61,170,35.88235294117647
8,2016,clinton latest latest polls,4,2,21,170,12.352941176470589
8,2016,trumps new plan,6,3,20,170,11.76470588235294
9,2016,trump anti immigration,0,1,62,260,23.846153846153847
9,2016,clinton polls deplorables,3,2,47,260,18.076923076923077
9,2016,donald donald trump trump,4,3,28,260,10.76923076923077
10,2016,trump man new,0,1,61,246,24.796747967479675
10,2016,trumps donald trumps rigged,3,2,29,246,11.788617886178862
10,2016,gop ryan paul,8,3,28,246,11.38211382113821
11,2016,trump cabinet support,0,1,53,171,30.994152046783626
11,2016,trumps russia victory,2,2,23,171,13.450292397660817
11,2016,election 2016 polls,7,3,21,171,12.280701754385964
12,2016,trump obama nuclear,0,1,69,206,33.49514563106796
12,2016,trumps pick alarming,3,2,24,206,11.650485436893204
12,2016,republicans north north carolina,7,3,23,206,11.165048543689322
1,2017,trump obama new,0,1,74,235,31.48936170212766
1,2017,trumps record national,3,2,25,235,10.638297872340425
1,2017,report mini report mini,1,3,23,235,9.787234042553191
2,2017,trump cover president,0,1,49,229,21.397379912663755
2,2017,trumps new questions,3,2,39,229,17.03056768558952
2,2017,wrong gop progressive activism,9,3,28,229,12.22707423580786
3,2017,trump new deal,2,1,46,251,18.326693227091635
3,2017,trumps new donald,6,2,35,251,13.94422310756972
3,2017,health care care health,0,3,31,251,12.350597609561753
4,2017,trump easy mind,1,1,65,205,31.70731707317073
4,2017,trumps tax donald trumps,3,2,34,205,16.585365853658537
4,2017,campaign round campaign round,0,3,19,205,9.268292682926829
5,2017,trump administration trump administration,0,1,50,225,22.22222222222222
5,2017,trumps takes foreign,5,2,29,225,12.88888888888889
5,2017,russia scandal russia scandal,6,3,28,225,12.444444444444445
6,2017,trump tapes donald trump,2,1,56,213,26.291079812206576
6,2017,comey russia attorney,9,2,29,213,13.615023474178404
6,2017,trumps infrastructure policy,5,3,29,213,13.615023474178404
7,2017,trump despite putin,1,1,49,160,30.625000000000004
7,2017,trumps house white,6,2,27,160,16.875
7,2017,care health care health,0,3,19,160,11.875
8,2017,trump lawrence charlottesville,0,1,57,208,27.403846153846157
8,2017,trumps team chief,4,2,28,208,13.461538461538462
8,2017,health care health care,6,3,20,208,9.615384615384617
9,2017,trump democrats controversy,0,1,43,187,22.994652406417114
9,2017,russia scandal russia scandal,7,2,24,187,12.834224598930483
9,2017,trumps inaugural department,5,3,23,187,12.299465240641712
10,2017,trump lawrence trump administration,1,1,75,236,31.779661016949152
10,2017,trumps new cabinet,3,2,26,236,11.016949152542372
10,2017,team team trump russia,9,3,25,236,10.59322033898305
11,2017,trump lead vets,0,1,78,289,26.989619377162633
11,2017,russia new scandal,7,2,37,289,12.802768166089965
11,2017,gop gop tax tax,9,3,35,289,12.110726643598616
12,2017,trump fbi flynn,1,1,110,361,30.47091412742382
12,2017,gop gop tax tax,0,2,39,361,10.80332409972299
12,2017,russia probe russia probe,5,3,34,361,9.418282548476455
1,2018,trump american drops,0,1,100,372,26.881720430107524
1,2018,gop rep gop rep,8,2,63,372,16.93548387096774
1,2018,trumps problem latest,3,3,40,372,10.75268817204301
2,2018,trump donald trump donald,0,1,69,306,22.54901960784314
2,2018,new parkland gun,8,2,49,306,16.013071895424837
