month,year,topic,rank,count,total_articles,percentage
2,2015,"LEADER,10",1,6,242,2.479338842975207
2,2015,"TAX_FNCACT,231",2,4,242,1.6528925619834711
2,2015,"TAX_FNCACT,344",3,4,242,1.6528925619834711
3,2015,"LEADER,10",1,10,764,1.3089005235602094
3,2015,"TAX_FNCACT_PRESIDENT,10",2,10,764,1.3089005235602094
3,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",3,6,764,0.7853403141361256
4,2015,"LEADER,10",1,7,746,0.938337801608579
4,2015,"TAX_FNCACT_PRESIDENT,10",2,7,746,0.938337801608579
4,2015,"LEADER,438",3,4,746,0.5361930294906166
5,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",1,7,652,1.0736196319018405
5,2015,"LEADER,10",2,6,652,0.9202453987730062
5,2015,"TAX_FNCACT_PRESIDENT,10",3,6,652,0.9202453987730062
6,2015,"LEADER,10",1,14,715,1.9580419580419581
6,2015,"TAX_FNCACT_PRESIDENT,10",2,10,715,1.3986013986013985
6,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",3,10,715,1.3986013986013985
7,2015,"TAX_FNCACT_CANDIDATE,34",1,13,787,1.6518424396442184
7,2015,"LEADER,10",2,12,787,1.5247776365946633
7,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",3,11,787,1.3977128335451081
8,2015,"USPEC_POLITICS_GENERAL1,11",1,20,723,2.7662517289073305
8,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",2,18,723,2.4896265560165975
8,2015,"LEADER,10",3,13,723,1.7980636237897647
9,2015,"USPEC_POLITICS_GENERAL1,11",1,17,741,2.2941970310391366
9,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",2,16,741,2.1592442645074224
9,2015,"TAX_FNCACT_POPE,5",3,11,741,1.484480431848853
10,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",1,26,690,3.768115942028986
10,2015,"USPEC_POLITICS_GENERAL1,11",2,26,690,3.768115942028986
10,2015,"TAX_FNCACT_CANDIDATE,34",3,14,690,2.0289855072463765
11,2015,"TAX_POLITICAL_PARTY_REPUBLICAN,11",1,23,645,3.565891472868217
11,2015,"USPEC_POLITICS_GENERAL1,11",2,23,645,3.565891472868217
11,2015,"TAX_FNCACT_CANDIDATE,34",3,17,645,2.635658914728682
12,2015,"LEADER,10",1,19,667,2.848575712143928
12,2015,"USPEC_POLITICS_GENERAL1,10",2,18,667,2.6986506746626686
12,2015,"TAX_FNCACT_PRESIDENT,10",3,17,667,2.548725637181409
1,2016,"LEADER,10",1,16,724,2.209944751381215
1,2016,"TAX_FNCACT_PRESIDENT,10",2,15,724,2.071823204419889
1,2016,"USPEC_POLITICS_GENERAL1,10",3,15,724,2.071823204419889
2,2016,"EPU_POLICY_POLITICAL,73",1,13,716,1.8156424581005588
2,2016,"EPU_POLICY_POLITICAL,124",2,13,716,1.8156424581005588
2,2016,"UNGP_FORESTS_RIVERS_OCEANS,114",3,13,716,1.8156424581005588
3,2016,"EPU_POLICY_POLITICAL,73",1,15,717,2.092050209205021
3,2016,"EPU_POLICY_POLITICAL,124",2,15,717,2.092050209205021
3,2016,"UNGP_FORESTS_RIVERS_OCEANS,114",3,15,717,2.092050209205021
