source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date
ABC News,"AFFECT,119",3.966906045470852e-05,17473.24420126699,0.22355067843647136,23,,2015-05-11 08:15:00
ABC News,"AFFECT,1395",0.00015890520666011823,4362.01679686,0.687995303944676,7,,2017-08-28 03:45:00
ABC News,"AFFECT,1555",1.89053099470308e-05,36664.15321949316,0.010157857550569083,8,,2015-11-25 21:15:00
ABC News,"AFFECT,1607",1.60173584971786e-05,43274.74974616074,0.007341098065413387,7,,2018-03-12 00:15:00
ABC News,"AFFECT,1655",0.0001270534569780694,5455.555457098573,0.606838220757804,6,,2016-07-08 09:00:00
ABC News,"AFFECT,1759",3.983749815837229e-05,17399.36523635013,0.09597929694872431,9,,2016-08-16 20:00:00
ABC News,"AFFECT,2087",8.632034637923274e-05,8029.939749253661,0.046836277212699895,3,,2021-07-02 21:30:00
ABC News,"AFFECT,2170",4.486682641903608e-05,15448.990621406132,0.11212139086690709,5,,2015-04-12 16:00:00
ABC News,"AFFECT,245",2.6034269637403698e-05,26624.41428985178,0.06809836881345321,13,,2015-06-07 12:30:00
ABC News,"AFFECT,302",1.5583542481025063e-05,44479.43600782298,0.02074049584218185,15,,2015-09-07 17:15:00
ABC News,"AFFECT,318",2.901755509938066e-05,23887.166861095735,0.05722685325390886,12,,2016-05-11 21:15:00
ABC News,"AFFECT,3322",0.0003235954573887985,2142.0176480633722,1.0,3,,2020-03-18 08:00:00
ABC News,"AFFECT,409",2.798550152556286e-05,24768.081426977547,0.09952384603985343,18,,2015-05-11 08:15:00
ABC News,"AFFECT,47",1.3670554422030253e-05,50703.66271633656,0.042493065565178845,31,,2015-03-20 20:15:00
ABC News,"AFFECT,4723",9.057963471030839e-05,7652.351246246104,0.019137664914551045,4,,2021-12-03 05:45:00
ABC News,"AFFECT,57",1.7806553269070798e-05,38926.521606172464,0.03034362419499681,18,,2015-02-24 11:15:00
ABC News,"AFFECT,608",1.5122026203020046e-05,45836.92497646352,0.019586356348491485,13,,2015-05-05 14:45:00
ABC News,"AGRICULTURE,113",0.00010373645202856189,6681.809209833976,0.5449510658310275,4,,2015-09-23 15:45:00
ABC News,"AGRICULTURE,1362",0.0004697297517958637,1475.6297166826573,0.9887764326463797,3,,2022-06-27 05:45:00
ABC News,"AGRICULTURE,1555",0.0076502850586446115,90.60409844162709,1.0,2,,2023-08-15 11:45:00
ABC News,"AGRICULTURE,2274",0.0005615860223104771,1234.2671523557499,0.2499999999999999,3,,2023-02-27 02:30:00
ABC News,"AGRICULTURE,528",0.00037577859880274746,1844.562683368219,1.0,2,,2020-10-06 09:15:00
ABC News,"ALLIANCE,1309",9.076729057950639e-05,7636.5304740785705,0.06270465578027762,4,,2016-05-21 21:00:00
ABC News,"APPOINTMENT,3054",0.0002390714080826441,2899.331150132067,1.0,2,,2016-07-02 21:15:00
ABC News,"APPOINTMENT,57",0.00012207490980307173,5678.047861580348,0.502943737323091,7,,2017-01-17 18:30:00
ABC News,"ARMEDCONFLICT,1241",3.550758244871222e-05,19521.10317736048,0.14578481577429359,16,,2016-01-21 10:30:00
ABC News,"ARMEDCONFLICT,1250",0.00019460626876073537,3561.792664614295,0.6576226098083955,7,,2019-07-25 10:30:00
ABC News,"ARMEDCONFLICT,1254",3.0607855665656114e-05,22646.054925621556,0.01912384002045575,11,,2015-06-30 10:15:00
ABC News,"ARMEDCONFLICT,1371",5.829012378110831e-05,11891.331422847186,0.1978632409047233,10,,2016-07-24 23:30:00
ABC News,"ARMEDCONFLICT,1422",4.156514965454175e-05,16676.162273463782,0.19709955779363297,14,,2015-04-09 20:45:00
ABC News,"ARMEDCONFLICT,1444",4.814419817405806e-05,14397.314875906264,0.2002453822024386,10,,2016-05-29 18:00:00
ABC News,"ARMEDCONFLICT,1508",7.102592998300662e-05,9759.072225112503,0.3985930097546615,10,,2016-05-29 18:00:00
ABC News,"ARMEDCONFLICT,1760",4.043224539225368e-05,17143.425348638782,0.17812992102498892,13,,2015-03-21 16:15:00
ABC News,"ARMEDCONFLICT,1820",3.80679538171765e-05,18208.154393819637,0.0917120745454918,7,,2015-05-06 22:45:00
ABC News,"ARMEDCONFLICT,209",1.7637339596217464e-05,39299.984942661016,0.03753966436854339,27,,2015-03-28 01:30:00
ABC News,"ARMEDCONFLICT,2128",7.174551357506824e-05,9661.191982892375,0.2782184218946544,4,,2016-07-02 21:15:00
ABC News,"ARMEDCONFLICT,2294",6.203109488230426e-05,11174.189039788831,0.3042751470099754,10,,2016-05-29 18:00:00
ABC News,"ARMEDCONFLICT,2382",0.00011576144498165605,5987.720528797682,0.4240288366339299,6,,2019-11-13 08:00:00
ABC News,"ARMEDCONFLICT,26",1.1566821745737407e-05,59925.46576723923,0.04496729512902342,32,,2015-02-24 10:00:00
ABC News,"ARMEDCONFLICT,2687",3.936999600532761e-05,17605.975384558016,0.04836885320984241,8,,2018-06-21 09:30:00
ABC News,"ARMEDCONFLICT,306",2.3548678903406785e-05,29434.65250866654,0.07453754688201186,16,,2016-01-04 07:30:00
