month,year,topic,topic_id,rank,count,total_articles,percentage
2,2015,court/police,2,1,55,242,22.727272727272727
2,2015,2016/new,4,2,53,242,21.90082644628099
2,2015,clinton/hillary clinton,1,3,48,242,19.834710743801654
3,2015,court/police,2,1,176,764,23.036649214659686
3,2015,2016/new,4,2,168,764,21.98952879581152
3,2015,clinton/hillary clinton,1,3,154,764,20.157068062827225
4,2015,bush/jeb,2,1,164,746,21.983914209115284
4,2015,paul/trade,4,2,150,746,20.10723860589812
4,2015,gay/marriage,1,3,148,746,19.839142091152816
5,2015,bush/jeb,2,1,144,652,22.085889570552148
5,2015,paul/trade,4,2,131,652,20.0920245398773
5,2015,gay/marriage,1,3,130,652,19.938650306748464
6,2015,bush/jeb,2,1,158,715,22.097902097902097
6,2015,paul/trade,4,2,143,715,20.0
6,2015,gay/marriage,1,3,142,715,19.86013986013986
7,2015,donald trump/trump,3,1,215,787,27.318932655654383
7,2015,clinton/hillary clinton,1,2,155,787,19.69504447268107
7,2015,obama/president,0,3,150,787,19.05972045743329
8,2015,donald trump/trump,3,1,197,723,27.247579529737205
8,2015,clinton/hillary clinton,1,2,143,723,19.778699861687414
8,2015,obama/president,0,3,138,723,19.08713692946058
9,2015,donald trump/trump,3,1,202,741,27.26045883940621
9,2015,clinton/hillary clinton,1,2,146,741,19.70310391363023
9,2015,obama/president,0,3,141,741,19.02834008097166
10,2015,cruz/sanders,0,1,164,690,23.768115942028984
10,2015,donald trump/trump,2,2,150,690,21.73913043478261
10,2015,clinton/hillary clinton,3,3,147,690,21.304347826086957
11,2015,cruz/sanders,0,1,153,645,23.72093023255814
11,2015,donald trump/trump,2,2,140,645,21.705426356589147
11,2015,clinton/hillary clinton,3,3,137,645,21.240310077519382
12,2015,cruz/sanders,0,1,158,667,23.68815592203898
12,2015,donald trump/trump,2,2,145,667,21.73913043478261
12,2015,clinton/hillary clinton,3,3,142,667,21.289355322338828
1,2016,clinton/sanders,3,1,163,724,22.513812154696133
1,2016,donald trump/trump,2,2,161,724,22.23756906077348
1,2016,court/rubio,1,3,158,724,21.823204419889503
2,2016,clinton/sanders,3,1,161,716,22.48603351955307
2,2016,donald trump/trump,2,2,159,716,22.206703910614525
2,2016,court/rubio,1,3,156,716,21.787709497206702
3,2016,clinton/sanders,3,1,161,717,22.454672245467226
3,2016,donald trump/trump,2,2,159,717,22.17573221757322
3,2016,court/rubio,1,3,156,717,21.75732217573222
4,2016,gop/trump,2,1,158,691,22.865412445730826
4,2016,campaign/trump,3,2,147,691,21.273516642547033
4,2016,clinton/hillary clinton,4,3,144,691,20.839363241678726
5,2016,gop/trump,2,1,169,740,22.83783783783784
5,2016,campaign/trump,3,2,158,740,21.35135135135135
5,2016,clinton/hillary clinton,4,3,154,740,20.81081081081081
6,2016,gop/trump,2,1,98,432,22.685185185185187
6,2016,campaign/trump,3,2,92,432,21.296296296296298
6,2016,clinton/hillary clinton,4,3,90,432,20.833333333333336
7,2016,clinton/trump,1,1,67,266,25.18796992481203
7,2016,donald trump/trump,4,2,57,266,21.428571428571427
7,2016,presidential/trumps,0,3,50,266,18.796992481203006
8,2016,clinton/trump,1,1,42,170,24.705882352941178
8,2016,donald trump/trump,4,2,36,170,21.176470588235293
8,2016,presidential/trumps,0,3,32,170,18.823529411764707
9,2016,clinton/trump,1,1,65,260,25.0
9,2016,donald trump/trump,4,2,56,260,21.53846153846154
9,2016,presidential/trumps,0,3,49,260,18.846153846153847
10,2016,trump/trumps,1,1,67,246,27.235772357723576
10,2016,republican/trump,0,2,58,246,23.577235772357724
10,2016,trump/trumps,3,3,45,246,18.29268292682927
11,2016,trump/trumps,1,1,47,171,27.485380116959064
11,2016,republican/trump,0,2,40,171,23.391812865497073
11,2016,trump/trumps,3,3,31,171,18.128654970760234
12,2016,trump/trumps,1,1,56,206,27.184466019417474
12,2016,republican/trump,0,2,48,206,23.300970873786408
12,2016,trump/trumps,3,3,38,206,18.446601941747574
1,2017,house/trump,3,1,67,235,28.510638297872344
1,2017,campaign/report,0,2,52,235,22.127659574468083
1,2017,health/health care,4,3,43,235,18.29787234042553
2,2017,house/trump,3,1,65,229,28.38427947598253
2,2017,campaign/report,0,2,51,229,22.270742358078603
2,2017,health/health care,4,3,42,229,18.340611353711793
3,2017,house/trump,3,1,71,251,28.286852589641438
3,2017,campaign/report,0,2,56,251,22.31075697211155
3,2017,health/health care,4,3,46,251,18.326693227091635
4,2017,house/white,4,1,59,205,28.780487804878046
4,2017,donald trump/trump,2,2,51,205,24.878048780487806
4,2017,campaign/campaign round,0,3,36,205,17.560975609756095
5,2017,house/white,4,1,65,225,28.888888888888886
5,2017,donald trump/trump,2,2,55,225,24.444444444444443
5,2017,campaign/campaign round,0,3,39,225,17.333333333333336
6,2017,house/white,4,1,62,213,29.107981220657276
6,2017,donald trump/trump,2,2,53,213,24.88262910798122
6,2017,campaign/campaign round,0,3,37,213,17.370892018779344
7,2017,campaign/trump,0,1,47,160,29.375
7,2017,trump/trumps,3,2,42,160,26.25
7,2017,trump/trumps,4,3,27,160,16.875
8,2017,campaign/trump,0,1,62,208,29.807692307692307
8,2017,trump/trumps,3,2,55,208,26.442307692307693
8,2017,trump/trumps,4,3,35,208,16.826923076923077
9,2017,campaign/trump,0,1,55,187,29.411764705882355
9,2017,trump/trumps,3,2,50,187,26.737967914438503
9,2017,trump/trumps,4,3,32,187,17.11229946524064
10,2017,tax/trump,0,1,74,236,31.35593220338983
10,2017,trump/trumps,4,2,48,236,20.33898305084746
10,2017,president/trump,1,3,47,236,19.915254237288135
11,2017,tax/trump,0,1,90,289,31.141868512110726
11,2017,trump/trumps,4,2,59,289,20.415224913494807
11,2017,president/trump,1,3,57,289,19.72318339100346
12,2017,tax/trump,0,1,113,361,31.301939058171747
12,2017,trump/trumps,4,2,73,361,20.221606648199447
12,2017,president/trump,1,3,72,361,19.94459833795014
1,2018,house/trump,0,1,89,372,23.9247311827957
1,2018,stormy/trump,2,2,82,372,22.043010752688172
1,2018,mueller/trump,3,3,74,372,19.892473118279568
2,2018,house/trump,0,1,73,306,23.856209150326798
2,2018,stormy/trump,2,2,67,306,21.895424836601308
2,2018,mueller/trump,3,3,61,306,19.934640522875817
3,2018,house/trump,0,1,196,817,23.990208078335375
3,2018,stormy/trump,2,2,181,817,22.15422276621787
3,2018,mueller/trump,3,3,164,817,20.0734394124847
4,2018,campaign/trump,0,1,234,1000,23.400000000000002
4,2018,mueller/trump,3,2,229,1000,22.900000000000002
4,2018,president/trump,4,3,215,1000,21.5
5,2018,campaign/trump,0,1,90,386,23.316062176165804
5,2018,mueller/trump,3,2,88,386,22.797927461139896
5,2018,president/trump,4,3,83,386,21.502590673575128
6,2018,campaign/trump,0,1,90,384,23.4375
6,2018,mueller/trump,3,2,88,384,22.916666666666664
6,2018,president/trump,4,3,82,384,21.354166666666664
7,2018,manafort/trump,1,1,208,925,22.486486486486488
7,2018,election/trump,4,2,202,925,21.83783783783784
7,2018,president/trump,2,3,199,925,21.513513513513512
8,2018,manafort/trump,1,1,133,594,22.39057239057239
8,2018,election/trump,4,2,129,594,21.71717171717172
8,2018,president/trump,2,3,128,594,21.548821548821547
9,2018,manafort/trump,1,1,225,1000,22.5
9,2018,election/trump,4,2,218,1000,21.8
9,2018,president/trump,2,3,215,1000,21.5
10,2018,president/trump,1,1,266,1000,26.6
10,2018,campaign/trump,2,2,239,1000,23.9
10,2018,house/trump,4,3,182,1000,18.2
11,2018,president/trump,1,1,266,1000,26.6
11,2018,campaign/trump,2,2,239,1000,23.9
11,2018,house/trump,4,3,182,1000,18.2
12,2018,president/trump,1,1,266,1000,26.6
12,2018,campaign/trump,2,2,239,1000,23.9
12,2018,house/trump,4,3,182,1000,18.2
1,2019,president/trump,2,1,251,1000,25.1
1,2019,cohen/trump,0,2,206,1000,20.599999999999998
1,2019,border/trump,4,3,186,1000,18.6
2,2019,president/trump,2,1,251,1000,25.1
2,2019,cohen/trump,0,2,206,1000,20.599999999999998
2,2019,border/trump,4,3,186,1000,18.6
3,2019,president/trump,2,1,251,1000,25.1
3,2019,cohen/trump,0,2,206,1000,20.599999999999998
3,2019,border/trump,4,3,186,1000,18.6
4,2019,biden/trump,1,1,235,1000,23.5
4,2019,house/trump,4,2,208,1000,20.8
4,2019,new/trump,3,3,200,1000,20.0
5,2019,biden/trump,1,1,235,1000,23.5
5,2019,house/trump,4,2,208,1000,20.8
5,2019,new/trump,3,3,200,1000,20.0
6,2019,biden/trump,1,1,235,1000,23.5
6,2019,house/trump,4,2,208,1000,20.8
6,2019,new/trump,3,3,200,1000,20.0
7,2019,impeachment/trump,1,1,275,1000,27.500000000000004
7,2019,trump/ukraine,3,2,212,1000,21.2
7,2019,biden/trump,0,3,190,1000,19.0
8,2019,impeachment/trump,1,1,275,1000,27.500000000000004
8,2019,trump/ukraine,3,2,212,1000,21.2
8,2019,biden/trump,0,3,190,1000,19.0
9,2019,impeachment/trump,1,1,275,1000,27.500000000000004
9,2019,trump/ukraine,3,2,212,1000,21.2
9,2019,biden/trump,0,3,190,1000,19.0
10,2019,impeachment/trump,4,1,263,1000,26.3
10,2019,house/impeachment,2,2,195,1000,19.5
10,2019,russia/syria,1,3,193,1000,19.3
11,2019,impeachment/trump,4,1,263,1000,26.3
11,2019,house/impeachment,2,2,195,1000,19.5
11,2019,russia/syria,1,3,193,1000,19.3
12,2019,impeachment/trump,4,1,263,1000,26.3
12,2019,house/impeachment,2,2,195,1000,19.5
12,2019,russia/syria,1,3,193,1000,19.3
1,2020,house/trump,4,1,269,1000,26.900000000000002
1,2020,biden/trump,1,2,210,1000,21.0
1,2020,campaign/trump,2,3,188,1000,18.8
2,2020,house/trump,4,1,269,1000,26.900000000000002
2,2020,biden/trump,1,2,210,1000,21.0
2,2020,campaign/trump,2,3,188,1000,18.8
3,2020,house/trump,4,1,269,1000,26.900000000000002
3,2020,biden/trump,1,2,210,1000,21.0
3,2020,campaign/trump,2,3,188,1000,18.8
4,2020,president/trump,3,1,225,1000,22.5
4,2020,biden/trump,0,2,212,1000,21.2
4,2020,coronavirus/says,1,3,208,1000,20.8
5,2020,president/trump,3,1,225,1000,22.5
5,2020,biden/trump,0,2,212,1000,21.2
5,2020,coronavirus/says,1,3,208,1000,20.8
6,2020,president/trump,3,1,225,1000,22.5
6,2020,biden/trump,0,2,212,1000,21.2
6,2020,coronavirus/says,1,3,208,1000,20.8
7,2020,biden/trump,4,1,240,1000,24.0
7,2020,election/trump,1,2,215,1000,21.5
7,2020,trump/voters,2,3,191,1000,19.1
8,2020,biden/trump,4,1,240,1000,24.0
8,2020,election/trump,1,2,215,1000,21.5
8,2020,trump/voters,2,3,191,1000,19.1
9,2020,biden/trump,4,1,240,1000,24.0
9,2020,election/trump,1,2,215,1000,21.5
9,2020,trump/voters,2,3,191,1000,19.1
10,2020,biden/trump,4,1,232,670,34.626865671641795
10,2020,biden/trump,2,2,126,670,18.80597014925373
10,2020,election/trump,3,3,108,670,16.119402985074625
11,2020,biden/trump,4,1,162,468,34.61538461538461
11,2020,biden/trump,2,2,88,468,18.803418803418804
11,2020,election/trump,3,3,76,468,16.23931623931624
12,2020,biden/trump,4,1,288,832,34.61538461538461
12,2020,biden/trump,2,2,157,832,18.870192307692307
12,2020,election/trump,3,3,135,832,16.22596153846154
1,2021,biden/republican,4,1,219,1000,21.9
1,2021,impeachment/trump,2,2,212,1000,21.2
1,2021,president/trump,1,3,211,1000,21.099999999999998
2,2021,biden/republican,4,1,171,778,21.979434447300772
2,2021,impeachment/trump,2,2,165,778,21.20822622107969
2,2021,president/trump,1,3,164,778,21.079691516709513
3,2021,biden/republican,4,1,210,955,21.98952879581152
3,2021,impeachment/trump,2,2,203,955,21.256544502617803
3,2021,president/trump,1,3,202,955,21.151832460732983
4,2021,biden/voting,4,1,235,851,27.614571092831962
4,2021,election/trump,0,2,165,851,19.388954171562865
4,2021,rep/trump,2,3,161,851,18.91891891891892
5,2021,biden/voting,4,1,277,1000,27.700000000000003
5,2021,election/trump,0,2,194,1000,19.400000000000002
5,2021,rep/trump,2,3,189,1000,18.9
6,2021,biden/voting,4,1,277,1000,27.700000000000003
6,2021,election/trump,0,2,194,1000,19.400000000000002
6,2021,rep/trump,2,3,189,1000,18.9
7,2021,covid/vaccine,1,1,265,1000,26.5
