network,period,Positive_VADER,Count,Mean tone,Mean vader_tone,election_year
ABC News,After Election,0.6256983240223464,179,-3.0036825974097265,0.2432910614525141,2016
ABC News,Before Election,0.5904255319148937,188,-3.343653534318884,0.1659888297872341,2016
Fox News,After Election,0.6520681265206812,822,-2.6952453364035485,0.300525182481751,2016
Fox News,Before Election,0.6654719235364397,837,-2.754359145499975,0.3061236559139781,2016
MSNBC,After Election,0.7393939393939394,165,-1.6440991316079985,0.1776739393939393,2016
MSNBC,Before Election,0.6274509803921569,255,-2.3706030122544948,0.0247482352941176,2016
ABC News,After Election,0.7022222222222222,225,-2.6820195585598605,0.3998493333333334,2020
ABC News,Before Election,0.6482213438735178,253,-3.1791133210639213,0.2872636363636364,2020
Fox News,After Election,0.7529182879377432,1028,-1.6205610584220158,0.4886881322957198,2020
Fox News,Before Election,0.7121374865735768,931,-2.05128687522774,0.4048160042964555,2020
MSNBC,After Election,0.6194852941176471,544,-2.0953967508708904,0.0832367647058823,2020
MSNBC,Before Election,0.6190476190476191,546,-2.6075965303149307,0.0658791208791208,2020
ABC News,After Election,0.6420664206642066,271,-2.249838971297561,0.2748520295202952,2024
ABC News,Before Election,0.6226415094339622,212,-2.813243130649953,0.2317028301886792,2024
Fox News,After Election,0.6786729857819905,1055,-1.6714790881132628,0.3359404739336489,2024
Fox News,Before Election,0.6468085106382979,940,-1.8967754133140635,0.2844075531914898,2024
MSNBC,After Election,0.6419939577039275,662,-2.3715827305581563,0.1773972809667673,2024
MSNBC,Before Election,0.5021037868162693,713,-3.0728806278317116,-0.0204446002805049,2024
