parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone
2019-01-01 01:15:00 UTC,https://www.msnbc.com/rachel-maddow/watch/watergate-shows-how-big-things-can-come-from-meager-beginnings-1412771395881,watergate shows how big things can come from meager beginnings 1412771395881,,,"Robert Odle,207","Senate Watergate,143","-2.04081632653061,2.04081632653061,4.08163265306122,6.12244897959184,16.3265306122449,0,43"
2019-01-01 18:30:00 UTC,https://www.msnbc.com/msnbc/watch/brother-speaks-after-paul-whelan-detained-in-russia-on-suspicion-of-spying-1416857155849,brother speaks after paul whelan detained in russia on suspicion of spying 1416857155849,"MEDIA_SOCIAL,355;TAX_WORLDLANGUAGES_RUSSIA,51;TAX_WORLDLANGUAGES_RUSSIA,163;TAX_WORLDLANGUAGES_RUSSIA,372;ARREST,41;ARREST,153;CRISISLEX_C07_SAFETY,41;CRISISLEX_C07_SAFETY,153;TAX_FNCACT_SPY,400;SURVEILLANCE,173;",1#Russia#RS#RS##60#100#RS#51;1#Russia#RS#RS##60#100#RS#163;1#Russia#RS#RS##60#100#RS#372,"Paul Whelan,32;Paul Whelan,136;David Whelan,106","Msnbc,305;Twitter,355","-7.79220779220779,1.2987012987013,9.09090909090909,10.3896103896104,22.0779220779221,0,69"
2019-01-01 18:45:00 UTC,http://www.msnbc.com/stephanie-ruhle/watch/outgoing-members-of-congress-give-advice-to-freshman-class-1416697923861,outgoing members of congress give advice to freshman class 1416697923861,"TAX_FNCACT_SPEAKER,212;GENERAL_GOVERNMENT,28;GENERAL_GOVERNMENT,100;USPEC_POLITICS_GENERAL1,28;USPEC_POLITICS_GENERAL1,100;EPU_POLICY_CONGRESS,28;EPU_POLICY_CONGRESS,100;TAKE_OFFICE,131;",,"Alexandra Pelosi,231;Chris Jansing,334",,"2.98507462686567,2.98507462686567,0,2.98507462686567,20.8955223880597,0,59"
2019-01-02 13:30:00 UTC,http://www.msnbc.com/morning-joe/watch/dems-have-chance-to-look-responsible-says-rep-ryan-1417623107514,dems have chance to look responsible says rep ryan 1417623107514,"LEADER,151;TAX_FNCACT_PRESIDENT,151;USPEC_POLITICS_GENERAL1,151;NEGOTIATIONS,132;BORDER,165;",,"Tim Ryan,86;Nancy Pelosi,252",,"-1.81818181818182,0,1.81818181818182,1.81818181818182,20,0,41"
2019-01-02 13:30:00 UTC,http://www.msnbc.com/morning-joe/watch/romney-delivers-harsh-critique-of-trump-in-op-ed-1417580611515,romney delivers harsh critique of trump in op ed 1417580611515,"LEADER,223;TAX_FNCACT_PRESIDENT,223;TAX_POLITICAL_PARTY_REPUBLICAN,118;USPEC_POLITICS_GENERAL1,118;TAKE_OFFICE,93;TAX_FNCACT_SENATOR,126;","2#Utah, United States#US#USUT##40.1135#-111.854#UT#136;3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#179","Mitt Romney,150",,"-4,0,4,4,12,0,43"
2019-01-02 13:30:00 UTC,http://www.msnbc.com/morning-joe/watch/allies-revise-wall-pledge-but-trump-s-campaign-words-remain-1417577539716,allies revise wall pledge but trump s campaign words remain 1417577539716,"LEADER,93;LEADER,251;TAX_FNCACT_PRESIDENT,93;TAX_FNCACT_PRESIDENT,251;USPEC_POLITICS_GENERAL1,93;USPEC_POLITICS_GENERAL1,251;TAX_FNCACT_AIDES,171;BORDER,154;",,,,"2,6,4,10,28,0,40"
2019-01-02 14:30:00 UTC,https://www.msnbc.com/morning-joe/watch/allies-revise-wall-pledge-but-trump-s-campaign-words-remain-1417577539716,allies revise wall pledge but trump s campaign words remain 1417577539716,"LEADER,93;LEADER,251;TAX_FNCACT_PRESIDENT,93;TAX_FNCACT_PRESIDENT,251;USPEC_POLITICS_GENERAL1,93;USPEC_POLITICS_GENERAL1,251;TAX_FNCACT_AIDES,171;BORDER,154;",,,,"2,6,4,10,28,0,40"
2019-01-02 14:30:00 UTC,https://www.msnbc.com/morning-joe/watch/romney-delivers-harsh-critique-of-trump-in-op-ed-1417580611515,romney delivers harsh critique of trump in op ed 1417580611515,"LEADER,223;TAX_FNCACT_PRESIDENT,223;TAX_POLITICAL_PARTY_REPUBLICAN,118;USPEC_POLITICS_GENERAL1,118;TAKE_OFFICE,93;TAX_FNCACT_SENATOR,126;","2#Utah, United States#US#USUT##40.1135#-111.854#UT#136;3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#179","Mitt Romney,150",,"-4,0,4,4,12,0,43"
2019-01-02 14:30:00 UTC,https://www.msnbc.com/morning-joe/watch/does-elizabeth-warren-match-the-moment-1417611843881,does elizabeth warren match the moment 1417611843881,"TAX_FNCACT_CANDIDATE,131;EPU_POLICY_WHITE_HOUSE,171;","3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#171","Elizabeth Warren,21;Elizabeth Warren,98","White House,171","0,0,0,0,25,0,39"
2019-01-02 17:45:00 UTC,http://www.msnbc.com/morning-joe/watch/inside-life-as-an-nfl-starting-quarterback-1417749571830,inside life as an nfl starting quarterback 1417749571830,"TAX_FNCACT_AUTHOR,68;",,"John Feinstein,83",,"0,0,0,0,13.5135135135135,0,31"
