parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone,afinn_tone_score,sentiment_label,vader_sentiment_analysis,vader_tone_score
2020-01-01 04:45:00,https://www.msnbc.com/kasie-dc/watch/republicans-despair-over-2020-house-races-i-think-we-ve-had-such-a-setback-that-it-may-be-a-generation-before-we-have-a-hope-75831365900?cid=public-rss_20200101,republicans despair over 2020 house races i think we ve had such a setback that it may be a generation before we have a hope 75831365900?cid=public rss_20200101,"TAX_FNCACT_WOMEN,37;TAX_POLITICAL_PARTY_REPUBLICAN,14;USPEC_POLITICS_GENERAL1,14;",,,,"0,3.33333333333333,3.33333333333333,6.66666666666667,20,0,27",,,,
2020-01-01 04:45:00,https://www.msnbc.com/kasie-dc/watch/policy-makes-it-much-harder-for-migrants-to-have-their-day-in-court-75832389940?cid=public-rss_20200101,policy makes it much harder for migrants to have their day in court 75832389940?cid=public rss_20200101,"USPEC_POLICY1,48;EPU_POLICY_POLICY,48;AFFECT,172;REFUGEES,172;EPU_CATS_MIGRATION_FEAR_MIGRATION,172;",1#Mexico#MX#MX##23#-102#MX#41;1#Mexico#MX#MX##23#-102#MX#94,"Julia Ainsley,124",,"-14.2857142857143,0,14.2857142857143,14.2857142857143,20,0,29",,,,
2020-01-01 05:45:00,https://www.msnbc.com/the-last-word/watch/watch-rep-katie-porter-s-master-class-in-congressional-hearings-75920965612,watch rep katie porter s master class in congressional hearings 75920965612,"TAX_POLITICAL_PARTY_DEMOCRAT,52;USPEC_POLITICS_GENERAL1,52;TAX_FNCACT_PORTER,70;",,"Katie Porter,70;Lawrence Odonnell,17",,"3.7037037037037,3.7037037037037,0,3.7037037037037,14.8148148148148,0,22",,,,
2020-01-01 15:00:00,https://www.msnbc.com/katy-tur/watch/seattle-schools-won-t-allow-unvaccinated-students-back-75903045965,seattle schools won t allow unvaccinated students back 75903045965,"TAX_WORLDMAMMALS_TUR,130;BAN,23;TAX_FNCACT_STUDENTS,36;HEALTH_VACCINATION,66;WB_642_CHILD_HEALTH,66;WB_1459_IMMUNIZATIONS,66;WB_621_HEALTH_NUTRITION_AND_POPULATION,66;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,66;UNGP_HEALTHCARE,66;",,"Joe Fryer,115",,"-3.44827586206897,0,3.44827586206897,3.44827586206897,17.2413793103448,0,24",,,,
2020-01-01 16:15:00,https://www.msnbc.com/msnbc/watch/officials-blame-climate-change-as-deadly-fires-continue-to-rage-through-australia-75928645722,officials blame climate change as deadly fires continue to rage through australia 75928645722,"NATURAL_DISASTER_WILDFIRES,107;CRISISLEX_T01_CAUTION_ADVICE,107;CRISISLEX_CRISISLEXREC,82;KILL,146;CRISISLEX_T02_INJURED,146;CRISISLEX_T03_DEAD,146;",1#Australia#AS#AS##-25#135#AS#9,,,"-10.8108108108108,0,10.8108108108108,10.8108108108108,18.9189189189189,0,30",,,,
2020-01-01 18:00:00,https://www.msnbc.com/msnbc/watch/u-s-troops-fire-tear-gas-at-protesters-outside-embassy-in-baghdad-75928133599,u s troops fire tear gas at protesters outside embassy in baghdad 75928133599,"PROTEST,64;CRISISLEX_C07_SAFETY,13;SECURITY_SERVICES,20;ARMEDCONFLICT,20;WB_2468_CONVENTIONAL_WAR,20;WB_2433_CONFLICT_AND_VIOLENCE,20;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,20;WB_2462_POLITICAL_VIOLENCE_AND_WAR,20;VIOLENT_UNREST,35;TAX_WEAPONS_TEAR_GAS,35;TAX_ETHNICITY_AMERICAN,115;","4#Baghdad, Baghdad, Iraq#IZ#IZ07#36785#33.3386#44.3939#-3103581#143;1#Iraqi#IZ#IZ##33#44#IZ#53",,"American Embassy,123","-13.3333333333333,0,13.3333333333333,13.3333333333333,23.3333333333333,0,26",,,,
2020-01-01 18:45:00,http://www.msnbc.com/msnbc/watch/u-s-troops-fire-tear-gas-at-protesters-outside-embassy-in-baghdad-75928133599,u s troops fire tear gas at protesters outside embassy in baghdad 75928133599,"PROTEST,64;CRISISLEX_C07_SAFETY,13;SECURITY_SERVICES,20;ARMEDCONFLICT,20;WB_2468_CONVENTIONAL_WAR,20;WB_2433_CONFLICT_AND_VIOLENCE,20;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,20;WB_2462_POLITICAL_VIOLENCE_AND_WAR,20;VIOLENT_UNREST,35;TAX_WEAPONS_TEAR_GAS,35;TAX_ETHNICITY_AMERICAN,115;","4#Baghdad, Baghdad, Iraq#IZ#IZ07#36785#33.3386#44.3939#-3103581#143;1#Iraqi#IZ#IZ##33#44#IZ#53",,"American Embassy,123","-13.3333333333333,0,13.3333333333333,13.3333333333333,23.3333333333333,0,26",,,,
2020-01-01 23:30:00,http://www.msnbc.com/all-in/watch/jane-fonda-on-how-greta-thunberg-inspires-her-75933253820,jane fonda on how greta thunberg inspires her 75933253820,"PROTEST,18;MOVEMENT_GENERAL,18;TAX_FNCACT_ACTIVIST,18;ENV_CLIMATECHANGE,161;WB_567_CLIMATE_CHANGE,161;CRISISLEX_CRISISLEXREC,161;UNGP_CLIMATE_CHANGE_ACTION,161;UNGP_FORESTS_RIVERS_OCEANS,154;TAX_WORLDMAMMALS_DRILL,138;",,"Chris Hayes,47;Jane Fonda,29;Greta Thunberg,66",,"0,3.125,3.125,6.25,15.625,0,26",,,,
2020-01-02 05:45:00,https://www.msnbc.com/all-in/watch/-this-is-global-and-this-is-immediate-jane-fonda-on-the-climate-crisis-today-75934277840, this is global and this is immediate jane fonda on the climate crisis today 75934277840,"CRISISLEX_CRISISLEXREC,38;MOVEMENT_GENERAL,76;ENV_CLIMATECHANGE,38;UNGP_CLIMATE_CHANGE_ACTION,38;UNGP_FORESTS_RIVERS_OCEANS,31;",,"Jane Fonda,10",,"-2.85714285714286,0,2.85714285714286,2.85714285714286,11.4285714285714,0,30",,,,
2020-01-02 13:45:00,http://www.msnbc.com/rachel-maddow-show/game-changer-report-jolts-debate-over-senate-impeachment-trial,game changer report jolts debate over senate impeachment trial,"LEADER,78;LEADER,782;LEADER,1824;LEADER,3075;LEADER,3417;LEADER,3648;LEADER,3889;LEADER,4257;TAX_FNCACT_PRESIDENT,78;TAX_FNCACT_PRESIDENT,782;TAX_FNCACT_PRESIDENT,1824;TAX_FNCACT_PRESIDENT,3075;TAX_FNCACT_PRESIDENT,3417;TAX_FNCACT_PRESIDENT,3648;TAX_FNCACT_PRESIDENT,3889;TAX_FNCACT_PRESIDENT,4257;USPEC_POLITICS_GENERAL1,78;USPEC_POLITICS_GENERAL1,782;USPEC_POLITICS_GENERAL1,1824;USPEC_POLITICS_GENERAL1,3075;USPEC_POLITICS_GENERAL1,3417;USPEC_POLITICS_GENERAL1,3648;USPEC_POLITICS_GENERAL1,3889;USPEC_POLITICS_GENERAL1,4257;EPU_POLICY_POLITICAL,237;EPU_POLICY_POLITICAL,2187;TAX_FNCACT_ADVISERS,524;IMPEACHMENT,22;IMPEACHMENT,2609;IMPEACHMENT,3228;IMPEACHMENT,4034;IMPEACHMENT,4835;IMPEACHMENT,5396;TAX_FNCACT_SECRETARY,599;TAX_FNCACT_SECRETARY,630;","2#New York, United States#US#USNY##42.1497#-74.9384#NY#256;2#New York, United States#US#USNY##42.1497#-74.9384#NY#2799;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#395;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#999;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1540;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1934;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#2926;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#4812;1#Ukraine#UP#UP##49#32#UP#457;1#Ukraine#UP#UP##49#32#UP#1584;1#Ukraine#UP#UP##49#32#UP#1703;1#Ukraine#UP#UP##49#32#UP#2934;1#American#US#US##39.828175#-98.5795#US#4448;2#Maine, United States#US#USME##44.6074#-69.3977#ME#4878;2#Maine, United States#US#USME##44.6074#-69.3977#ME#5035;1#United States#US#US##39.828175#-98.5795#US#885;1#United States#US#US##39.828175#-98.5795#US#4116;3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#4101","Robert Blair,1656;Lisa Murkowski R-Alaska,4671;Michael Duffey,2173;Donald Trump,38;Doug Jones D-Ala,4149;Elaine Mccusker,2118;Mitch Mcconnell,4736;Mitch Mcconnell,5695;Mitch Mcconnell,5866;Susan Collins R-Maine,4878;Mike Pompeo,651;Richard Blumenthal D-Conn,5543","Senate Republicans,4596;Senate Republicans,5286;Msnbc,1471;White House,395;White House,999;White House,1540;White House,1934;White House,2926;White House,4812;Senate Minority Leader Chuck Schumer,2671;White House Office Of Management,1955;Justice Department,1024;Team Trump,1795;Oval Office,755;United States,885;United States,4116;Senate Majority Leader Mitch Mcconnell R-Ky,4741;New York Times,262;Senate Democrats,3818;Office Of Management,945;Office Of Management,1955","-2.29083665338645,2.49003984063745,4.7808764940239,7.27091633466136,22.5099601593625,0.697211155378486,910",,,,
