month,year,topic,topic_id,rank,count,total_articles,percentage
1,2016,christie rubio hillary / chaos tell us / releases first tv,0,1,277,724,38.25966850828729
1,2016,iran reacts prisoner / spring cleric nimr / sure killed four,4,2,25,724,3.4530386740331496
1,2016,court fight trump / juveniles sentenced life / rncs ballot security,3,3,18,724,2.4861878453038675
1,2017,christie rubio hillary / chaos tell us / releases first tv,0,1,45,235,19.148936170212767
1,2017,trump espionage trump / director accused helping / end anytime,1,2,25,235,10.638297872340425
1,2017,court fight trump / juveniles sentenced life / rncs ballot security,3,3,3,235,1.276595744680851
1,2018,trump espionage trump / director accused helping / end anytime,1,1,67,372,18.010752688172044
1,2018,christie rubio hillary / chaos tell us / releases first tv,0,2,65,372,17.473118279569892
1,2018,trump government shutdown / nyc chick fil / idea adding chaos,7,3,17,372,4.56989247311828
1,2019,trump government shutdown / nyc chick fil / idea adding chaos,7,1,169,1000,16.900000000000002
1,2019,trump espionage trump / director accused helping / end anytime,1,2,131,1000,13.100000000000001
1,2019,christie rubio hillary / chaos tell us / releases first tv,0,3,98,1000,9.8
1,2020,schnieder impeachment / absolutely still think / chris jansing breaks,2,1,230,1000,23.0
1,2020,iran reacts prisoner / spring cleric nimr / sure killed four,4,2,164,1000,16.400000000000002
1,2020,christie rubio hillary / chaos tell us / releases first tv,0,3,67,1000,6.7
1,2021,despite screening protesters / olympic athlete gwen / bend say buttigieg,5,1,136,1000,13.600000000000001
1,2021,zika virus outbreak / nigeria plans resettle / 99364933816 cdc lowers,8,2,87,1000,8.7
1,2021,christie rubio hillary / chaos tell us / releases first tv,0,3,76,1000,7.6
1,2022,christie rubio hillary / chaos tell us / releases first tv,0,1,86,820,10.487804878048781
1,2022,zika virus outbreak / nigeria plans resettle / 99364933816 cdc lowers,8,2,64,820,7.804878048780488
1,2022,trump espionage trump / director accused helping / end anytime,1,3,51,820,6.219512195121951
1,2023,christie rubio hillary / chaos tell us / releases first tv,0,1,49,704,6.9602272727272725
1,2023,joe biden run / mattis finds unenviable / clinton indicted goodbye,6,2,46,704,6.534090909090909
1,2023,court fight trump / juveniles sentenced life / rncs ballot security,3,3,31,704,4.403409090909091
1,2024,christie rubio hillary / chaos tell us / releases first tv,0,1,151,772,19.559585492227978
1,2024,court fight trump / juveniles sentenced life / rncs ballot security,3,2,84,772,10.880829015544041
1,2024,joe biden run / mattis finds unenviable / clinton indicted goodbye,6,3,34,772,4.404145077720207
1,2025,christie rubio hillary / chaos tell us / releases first tv,0,1,50,827,6.045949214026603
1,2025,court fight trump / juveniles sentenced life / rncs ballot security,3,2,39,827,4.71584038694075
1,2025,joe biden run / mattis finds unenviable / clinton indicted goodbye,6,3,33,827,3.990326481257558
2,2015,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,63,242,26.033057851239672
2,2015,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,2,5,242,2.066115702479339
2,2015,clinton sanders debate / iowa looks / moving wrong direction,2,3,5,242,2.066115702479339
2,2016,clinton sanders debate / iowa looks / moving wrong direction,2,1,168,716,23.463687150837988
2,2016,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,2,106,716,14.804469273743019
2,2016,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,3,9,716,1.2569832402234637
2,2017,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,75,229,32.751091703056765
2,2017,russia meddle election / bot twitter 1436501059933 / memo cover,1,2,7,229,3.056768558951965
2,2017,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,3,1,229,0.43668122270742354
2,2018,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,119,306,38.88888888888889
2,2018,russia meddle election / bot twitter 1436501059933 / memo cover,1,2,13,306,4.248366013071895
2,2018,clinton sanders debate / iowa looks / moving wrong direction,2,3,1,306,0.32679738562091504
2,2019,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,370,1000,37.0
2,2019,russia meddle election / bot twitter 1436501059933 / memo cover,1,2,45,1000,4.5
2,2019,clinton sanders debate / iowa looks / moving wrong direction,2,3,16,1000,1.6
2,2020,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,225,1000,22.5
2,2020,clinton sanders debate / iowa looks / moving wrong direction,2,2,111,1000,11.1
2,2020,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,3,99,1000,9.9
2,2021,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,359,778,46.1439588688946
2,2021,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,2,75,778,9.640102827763496
2,2021,russia meddle election / bot twitter 1436501059933 / memo cover,1,3,11,778,1.4138817480719794
2,2022,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,252,738,34.146341463414636
2,2022,russia meddle election / bot twitter 1436501059933 / memo cover,1,2,166,738,22.493224932249323
2,2022,zika virus us / superbug exposure ucla / 79318085733 markets sink,0,3,35,738,4.742547425474255
2,2023,snl40 bill cosby / combat gop gerrymanders / guns college campuses,3,1,254,801,31.7103620474407
