parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone
2025-01-01 03:00:00.000000 UTC,https://www.foxnews.com/media/don-lemon-stands-rant-trump-supporters-after-online-backlash-too-f-ing-bad,don lemon stands rant trump supporters after online backlash too f ing bad,"MOVEMENT_GENERAL,793;MEDIA_MSM,1131;TAX_FNCACT_JOURNALIST,1131;TAX_FNCACT_WOMEN,1326;APPOINTMENT,415;TAX_ETHNICITY_BLACK,1320;CRISISLEX_CRISISLEXREC,509;DISCRIMINATION,364;DISCRIMINATION_RACE_RACIST,364;TAX_FNCACT_LEADER,1034;MEDIA_SOCIAL,148;TAX_FNCACT_SUPPORTERS,55;TAX_FNCACT_SUPPORTERS,240;TAX_FNCACT_SUPPORTERS,526;TAX_FNCACT_SUPPORTERS,616;TAX_FNCACT_SUPPORTERS,969;TAX_FNCACT_SUPPORTERS,1708;",,"Sriram Krishnan,431;Don Lemon,20;Kamala Harris,1399;Donald Trump,404;Donald Trump,746;Donald Trump,1739","Youtube,148;Oval Office,1215","-5.58375634517767,2.79187817258883,8.3756345177665,11.1675126903553,18.7817258883249,5.0761421319797,343"
2025-01-01 08:00:00.000000 UTC,https://www.foxnews.com/category/democratic-party,democratic party,"DELAY,170;USPEC_UNCERTAINTY1,170;CRISISLEX_C04_LOGISTICS_TRANSPORT,170;WB_2180_MUTUAL_FUNDS,308;WB_336_NON_BANK_FINANCIAL_INSTITUTIONS,308;WB_341_INVESTMENT_FUNDS,308;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,308;WB_332_CAPITAL_MARKETS,308;TAX_WORLDMAMMALS_FOX,90;WB_678_DIGITAL_GOVERNMENT,47;WB_694_BROADCAST_AND_MEDIA,47;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,47;",,"Refinitiv Lipper,348","News Network,103;Factset Digital Solutions,278;Mutual Fund,308","-1.81818181818182,0,1.81818181818182,1.81818181818182,14.5454545454545,0,45"
2025-01-01 09:45:00.000000 UTC,https://www.foxnews.com/travel/seat-squatting-planes-year-starts-riles-flight-passengers-couldnt-believe,seat squatting planes year starts riles flight passengers couldnt believe,"TAX_FNCACT_FLIGHT_ATTENDANT,4048;TAX_FNCACT_FLIGHT_ATTENDANT,4337;TAX_WORLDMAMMALS_DOGS,1062;AFFECT,2302;WB_2943_SWITCHES,1618;WB_667_ICT_INFRASTRUCTURE,1618;WB_672_NETWORK_MANAGEMENT,1618;TAX_DISEASE_ALLERGIC,1054;MEDIA_SOCIAL,230;WB_652_ICT_APPLICATIONS,230;WB_662_SOCIAL_MEDIA,230;WB_658_ENTERPRISE_APPLICATIONS,230;TAX_FNCACT_AUTHOR,3315;WB_678_DIGITAL_GOVERNMENT,230;WB_694_BROADCAST_AND_MEDIA,230;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,230;RECRUITMENT,4231;TAX_FNCACT_MAN,1440;TAX_FNCACT_MAN,1901;MANMADE_DISASTER_IMPLIED,1704;TAX_WORLDMAMMALS_FOX,3357;TAX_WORLDMAMMALS_FOX,3861;TAX_WORLDMAMMALS_DOG,992;TAX_WORLDMAMMALS_DOG,1381;TAX_FNCACT_ATTENDANT,4048;TAX_FNCACT_ATTENDANT,4337;EPU_ECONOMY_HISTORIC,3299;","2#California, United States#US#USCA##36.17#-119.746#CA#634;1#Mexico#MX#MX##23#-102#MX#604","Rosalinda Randall,3852;Gary Leff,3268;Los Angeles,621",,"-1.60692212608158,1.60692212608158,3.21384425216316,4.82076637824475,28.3065512978986,1.73053152039555,718"
2025-01-01 10:00:00.000000 UTC,https://www.foxnews.com/entertainment/jelly-roll-jessica-simpson-kathy-bates-showed-off-dramatic-100-pound-weight-loss-2024,jelly roll jessica simpson kathy bates showed off dramatic 100 pound weight loss 2024,,,"Dave Bautista,6423;Dave Bautista,6452;Arnold Schwarzenegger,5502;Ian Larios,855;Eric Johnson,2819;Jason Bradley Deford,1257;Charles Dangelo,5435;Chris Van Vliet,6639;Kathy Bates,126;Kathy Bates,3477;Kathy Bates,3491;Tom Arnold,5024;Tom Arnold,5124;John Goodman,5757;Jessica Simpson,112;Jessica Simpson,1465;Jessica Simpson,1483","Instagram,592;Instagram,1764;Instagram,3061","0.539083557951482,3.97574123989218,3.4366576819407,7.41239892183288,22.911051212938,1.48247978436658,1275"
2025-01-01 10:45:00.000000 UTC,https://radio.foxnews.com/2025/01/01/murderer-of-tejano-icon-selena-files-for-2025-parole/,murderer of tejano icon selena files for 2025 parole,"KILL,182;SOC_GENERALCRIME,81;","3#Corpus Christi, Texas, United States#US#USTX#TX355#27.8006#-97.3964#1333380#271;2#Texas, United States#US#USTX##31.106#-97.6475#TX#294",,,"-1.5625,1.5625,3.125,4.6875,20.3125,0,53"
2025-01-01 12:00:00.000000 UTC,https://www.foxnews.com/media/joe-rogans-five-most-noteworthy-moments-shaped-america-2024,joe rogans five most noteworthy moments shaped america 2024,"WB_695_POVERTY,2863;WB_695_POVERTY,3560;INEQUALITY,2863;INEQUALITY,3560;TAX_FNCACT_LADY,2409;TAX_FNCACT_LADY,2905;TAX_FNCACT_LADY,3578;TAX_FNCACT_LEADERS,2535;SOC_POLARIZED,308;USPEC_UNCERTAINTY1,308;CONSTITUTIONAL,5837;CONSTITUTIONAL,6250;MEDIA_MSM,2596;BULLYING,2750;CRISISLEX_CRISISLEXREC,5048;TAX_ETHNICITY_AMERICANS,288;TAX_ETHNICITY_BLACK,4410;TAX_POLITICAL_PARTY_DEMOCRATIC_PARTY,2515;TAX_FNCACT_FATHER,3032;WB_678_DIGITAL_GOVERNMENT,458;WB_694_BROADCAST_AND_MEDIA,458;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,458;ARMEDCONFLICT,5024;EPU_POLICY_WHITE_HOUSE,7527;EPU_POLICY_WHITE_HOUSE,7995;TAX_FNCACT_POLITICIAN,1240;TAX_FNCACT_AUTHOR,4003;TAX_FNCACT_AUTHOR,4786;TAX_FNCACT_AUTHOR,5241;TAX_FNCACT_WOMEN,3275;TAX_FNCACT_SERVANT,3900;LEADER,764;LEADER,1982;LEADER,8232;LEADER,8669;TAX_FNCACT_PRESIDENT,764;TAX_FNCACT_PRESIDENT,1982;TAX_FNCACT_PRESIDENT,8232;TAX_FNCACT_PRESIDENT,8669;USPEC_POLITICS_GENERAL1,764;USPEC_POLITICS_GENERAL1,1982;USPEC_POLITICS_GENERAL1,8232;USPEC_POLITICS_GENERAL1,8669;UNREST_BELLIGERENT,3500;UNREST_BELLIGERENT,7074;UNREST_BELLIGERENT,7825;TAX_DISEASE_COLORBLINDNESS,4345;TAX_FNCACT_WRITER,5913;TAX_ETHNICITY_AMERICAN,7837;TAX_POLITICAL_PARTY_DEMOCRATS,4548;TAX_POLITICAL_PARTY_DEMOCRATS,6506;INCOME_INEQUALITY,2863;INCOME_INEQUALITY,3560;WB_700_INEQUALITY_AND_SHARED_PROSPERITY,2863;WB_700_INEQUALITY_AND_SHARED_PROSPERITY,3560;WB_2668_INCOME_INEQUALITY,2863;WB_2668_INCOME_INEQUALITY,3560;TAX_WORLDINSECTS_BEE,6580;UNGP_FORESTS_RIVERS_OCEANS,4716;TAX_FNCACT_RUNNING_MATE,7474;TAX_FNCACT_VICE_PRESIDENT,1982;DISCRIMINATION,2834;DISCRIMINATION_RACE_RACISM,2834;UNGP_FREEDOM_FROM_DISCRIMINATION,2834;ELECTION,335;ELECTION,693;ELECTION,1630;ELECTION,7922;RATIFY,7255;RATIFY,8040;EPU_POLICY_POLITICAL,251;EPU_POLICY_POLITICAL,6223;UNGP_POLITICAL_FREEDOMS,2713;UNGP_POLITICAL_FREEDOMS,3513;UNGP_POLITICAL_FREEDOMS,5857;UNGP_POLITICAL_FREEDOMS,5992;UNGP_POLITICAL_FREEDOMS,7847;BORDER,6481;TAX_FNCACT_CRITIC,6059;EPU_ECONOMY_HISTORIC,5482;TAX_FNCACT_STAFFERS,2100;TAX_FNCACT_STAFFERS,2212;MEDIA_SOCIAL,628;TAX_FNCACT_SUPPORTERS,7813;NATURAL_DISASTER_DROWNING,3226;TAX_FNCACT_CIVIL_SERVANT,3900;CRISISLEX_T11_UPDATESSYMPATHY,1785;CRISISLEX_T11_UPDATESSYMPATHY,3722;CRISISLEX_T11_UPDATESSYMPATHY,4640;CRISISLEX_T11_UPDATESSYMPATHY,5174;","2#New York, United States#US#USNY##42.1497#-74.9384#NY#5900;2#New York, United States#US#USNY##42.1497#-74.9384#NY#6609;2#New York, United States#US#USNY##42.1497#-74.9384#NY#6758;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#7527;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#7995;1#America#US#US##39.828175#-98.5795#US#69;1#America#US#US##39.828175#-98.5795#US#196;1#America#US#US##39.828175#-98.5795#US#4265;1#America#US#US##39.828175#-98.5795#US#5947;1#America#US#US##39.828175#-98.5795#US#6127;1#America#US#US##39.828175#-98.5795#US#6940;1#America#US#US##39.828175#-98.5795#US#7085;1#Americans#US#US##39.828175#-98.5795#US#288;1#American#US#US##39.828175#-98.5795#US#7837","Coleman Hughes,4018;James Carville,2147;Oprah Winfrey,2622;Sunny Hostin,4303;Elon Musk,1413;Podcaster Joe Rogan,19;Donald Trump,508;Kamala Harris,1996;Michelle Obama,2365;Michelle Obama,2920;Michelle Obama,3690;Joe Rogan,19;Joe Rogan,136;Joe Rogan,571;Joe Rogan,2318;Joe Rogan,3937;Jennifer Szalai,6075","Youtube,628;New York Times,5906;New York Times,6615;New York Times,6764;Democratic Party,2515;Cnn,1037;White House,7527;White House,7995","0.125156445556946,4.25531914893617,4.13016270337922,8.3854818523154,21.6520650813517,1.81476846057572,1433"
2025-01-01 14:00:00.000000 UTC,https://www.foxnews.com/live-news/bourbon-street-mass-casualty-incident-new-orleans-live-updates,bourbon street mass casualty incident new orleans live updates,"TAX_FNCACT_POLICE,18;TAX_FNCACT_POLICE,290;TAX_FNCACT_POLICE,442;TAX_FNCACT_POLICE,695;TAX_FNCACT_POLICE,977;",,"Ochsner Baptist,916;Notre Dame,1507;Anne Kirkpatrick,41","University Of Georgia,1494;Tulane Medical Center,955","-5.59701492537313,0.746268656716418,6.34328358208955,7.08955223880597,28.3582089552239,1.49253731343284,250"
2025-01-01 14:00:00.000000 UTC,https://www.foxnews.com/entertainment/kristin-cavallari-wants-live-energy-paul-mccartney-eyeing-new-album-2025-new-years-resolutions,kristin cavallari wants live energy paul mccartney eyeing new album 2025 new years resolutions,"CRISISLEX_T11_UPDATESSYMPATHY,1497;CRISISLEX_T11_UPDATESSYMPATHY,4367;CRISISLEX_T11_UPDATESSYMPATHY,4860;TAX_WORLDMAMMALS_FOX,1564;TAX_WORLDMAMMALS_FOX,1770;TAX_WORLDMAMMALS_FOX,4958;TAX_DISEASE_BREAST_CANCER,2181;TAX_DISEASE_CARCINOMA,2167;TAX_FNCACT_WITCH,1098;TAX_DISEASE_CANCER,2181;TAX_DISEASE_CANCER,2275;WB_1406_DISEASES,2181;WB_1406_DISEASES,2275;WB_1431_CANCER,2181;WB_1431_CANCER,2275;WB_621_HEALTH_NUTRITION_AND_POPULATION,2181;WB_621_HEALTH_NUTRITION_AND_POPULATION,2275;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,2181;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,2275;AFFECT,1172;AFFECT,2416;AFFECT,2466;TAX_FNCACT_MUSICIAN,242;MARITIME_INCIDENT,992;MARITIME_INCIDENT,1043;MARITIME,992;MARITIME,1043;MANMADE_DISASTER_IMPLIED,992;MANMADE_DISASTER_IMPLIED,1043;TAX_DISEASE_CRIBRIFORM_CARCINOMA,2167;UNGP_FORESTS_RIVERS_OCEANS,1123;TAX_FNCACT_ASSISTANT,4950;GENERAL_HEALTH,1917;MEDICAL,1917;TAX_FNCACT_SINGER,867;","1#Italy#IT#IT##42.833333#12.833333#IT#1052;3#Hollywood, California, United States#US#USCA#CA037#34.0983#-118.327#1660757#85","Joan Vassos,1352;Joan Vassos,1966;Joan Vassos,2055;Kristin Cavallari,3286;Allan Russell,2689;Lori Bashian,4909;Paul Mccartney,257;Jana Kramer,2659;Jana Kramer,4107;Jana Kramer,4177;Nicole Eggert,1761;Nicole Eggert,2954;Nicole Eggert,3023;Nick Jonas,3954",,"1.46596858638743,2.40837696335078,0.942408376963351,3.35078534031414,21.0471204188482,1.36125654450262,847"
2025-01-01 15:30:00.000000 UTC,https://radio.foxnews.com/2025/01/01/americans-start-2025-with-economic-anxiety/,americans start 2025 with economic anxiety,"EPU_ECONOMY,345;EPU_ECONOMY_HISTORIC,345;ECON_INFLATION,328;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,328;WB_442_INFLATION,328;TAX_WORLDMAMMALS_FOX,1121;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,877;WB_635_PUBLIC_HEALTH,877;WB_621_HEALTH_NUTRITION_AND_POPULATION,877;WB_1461_HEALTHY_LIFESTYLES,877;CRISISLEX_C03_WELLBEING_HEALTH,1091;TAX_FNCACT_ANALYST,353;GENERAL_HEALTH,679;MEDICAL,679;TAX_DISEASE_METABOLISM,917;USPEC_POLICY1,200;EPU_POLICY_BUDGET,200;TAX_ETHNICITY_AMERICANS,18;TAX_ETHNICITY_AMERICANS,421;TAX_FNCACT_PHYSICIAN,786;TAX_ETHNICITY_AMERICAN,1034;",1#Americans#US#US##39.828175#-98.5795#US#18;1#Americans#US#US##39.828175#-98.5795#US#421;1#America#US#US##39.828175#-98.5795#US#690;1#American#US#US##39.828175#-98.5795#US#1034,"Jason Chaffetz,1196;Mark Hamrick,378;Dana Perino,736","Good Energy,992","0,2.80373831775701,2.80373831775701,5.60747663551402,20.0934579439252,0.467289719626168,197"
2025-01-01 16:00:00.000000 UTC,https://www.foxnews.com/opinion/rick-mcdaniel-heres-how-you-can-make-2025-greater-year,rick mcdaniel heres how you can make 2025 greater year,,,"Jon Gordon,66",,"2.945301542777,3.92706872370266,0.981767180925666,4.90883590462833,27.0687237026648,8.41514726507714,666"
