parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone,afinn_tone_score,sentiment_label,vader_sentiment_analysis,vader_tone_score
2024-01-01 11:45:00,https://www.msnbc.com/opinion/msnbc-opinion/chiefs-taylor-swift-yoko-ono-travis-kelce-sexism-rcna131630,chiefs taylor swift yoko ono travis kelce sexism rcna131630,,"3#Dallas, Texas, United States#US#USTX#TX113#32.7831#-96.8067#1380944#3384;1#Britain#UK#UK##54#-4#UK#2580;4#Paris, France (General), France#FR#FR00#16282#48.8667#2.33333#-1456928#3775;4#Paris, France (General), France#FR#FR00#16282#48.8667#2.33333#-1456928#3858;1#France#FR#FR##46#2#FR#3066;1#France#FR#FR##46#2#FR#3783;1#France#FR#FR##46#2#FR#3866;2#Wisconsin, United States#US#USWI##44.2563#-89.6385#WI#210;3#Las Vegas, Nevada, United States#US#USNV#NV003#36.175#-115.137#847388#469","Prince Harry,2849;Skip Bayless,709;Kurt Cobain,2123;Clay Travis,873;Olivia Munn,4246;Andy Reid,5107;Tony Romo,3429;Carla Bruni,3080;Courtney Love,2109;Yoko Ono,1006;Yoko Ono,1197;Yoko Ono,1338;Yoko Ono,1668;Yoko Ono,1805;Yoko Ono,3177;Yoko Ono,4109;Wallis Simpson,2670;Victoria Beckham,4323;Taylor Swift,92;Taylor Swift,652;Taylor Swift,1174;Taylor Swift,3339;Carrie Underwood,4189;Meghan Markle,2608;Jessica Simpson,3365;Jessica Simpson,3612;Jessica Simpson,3823;Jessica Simpson,4039;Mike Fisher,4224;Aaron Rodgers,4285;Roy Hobb Wonderboy,3929;David Beckham,4348;Travis Kelce,63;Travis Kelce,1021;John Lennon,1421","Fox Sports,691;Pfizer,1112","-2.61233019853709,3.34378265412748,5.95611285266458,9.29989550679206,21.3166144200627,1.25391849529781,879",,,,
2024-01-01 15:15:00,https://www.msnbc.com/the-reidout/reidout-blog/fetterman-progressive-rfk-jr-party-switch-rcna131479,fetterman progressive rfk jr party switch rcna131479,"TAX_POLITICAL_PARTY_PEOPLE_PARTY,2500;USPEC_POLICY1,1126;TAX_FNCACT_CRIMINAL,2129;TAX_FNCACT_LAWMAKERS,1525;EPU_POLICY_LAWMAKERS,1525;LEADER,416;LEADER,664;LEADER,772;TAX_FNCACT_POLITICIANS,416;TAX_FNCACT_POLITICIANS,664;TAX_FNCACT_POLITICIANS,772;WB_696_PUBLIC_SECTOR_MANAGEMENT,2137;WB_840_JUSTICE,2137;IMMIGRATION,1117;WB_2670_JOBS,1117;WB_2769_JOBS_STRATEGIES,1117;WB_2837_IMMIGRATION,1117;WB_2836_MIGRATION_POLICIES_AND_JOBS,1117;EPU_CATS_MIGRATION_FEAR_MIGRATION,1117;TAX_FNCACT_SUPPORTERS,126;TAX_POLITICAL_PARTY_DEMOCRAT,1174;TAX_POLITICAL_PARTY_DEMOCRAT,1263;TAX_POLITICAL_PARTY_DEMOCRAT,2671;USPEC_POLITICS_GENERAL1,1174;USPEC_POLITICS_GENERAL1,1263;USPEC_POLITICS_GENERAL1,2671;TAX_POLITICAL_PARTY_REPUBLICANS,1853;EXTREMISM,1990;EXTREMISM,2108;TRIAL,2076;TAX_FNCACT_PROSECUTORS,2076;EDUCATION,2019;SOC_POINTSOFINTEREST_SCHOOL,2019;CRISISLEX_T11_UPDATESSYMPATHY,579;CRISISLEX_T11_UPDATESSYMPATHY,2819;EPU_POLICY_POLITICAL,611;ELECTION,2413;TAX_FNCACT_CANDIDATES,2229;TAX_POLITICAL_PARTY_DEMOCRATIC_PARTY,1412;WB_678_DIGITAL_GOVERNMENT,1770;WB_2943_SWITCHES,1770;WB_667_ICT_INFRASTRUCTURE,1770;WB_672_NETWORK_MANAGEMENT,1770;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,1770;TAX_POLITICAL_PARTY_GREEN_PARTY,2547;TAX_POLITICAL_PARTY_DEMOCRATS,1657;GENERAL_GOVERNMENT,1094;EPU_POLICY_GOVERNMENT,1094;WB_1014_CRIMINAL_JUSTICE,2137;BAN,1889;","2#North Carolina, United States#US#USNC##35.6411#-79.8431#NC#1573;2#North Carolina, United States#US#USNC##35.6411#-79.8431#NC#1841;1#Israeli#IS#IS##31.5#34.75#IS#1083;2#Pennsylvania, United States#US#USPA##40.5773#-77.264#PA#1165;1#United States#US#US##39.828175#-98.5795#US#1147;2#West Virginia, United States#US#USWV##38.468#-80.9696#WV#1359;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#1231;2#Georgia, United States#US#USGA##32.9866#-83.6487#GA#1610;2#Georgia, United States#US#USGA##32.9866#-83.6487#GA#2064","Hulk Hogan,365;Kyrsten Sinema,1220;John Fetterman,965;Joe Manchin,1342;Mesha Mainor,1599;Tricia Cotham,1555;Cornel West,2291","United States,1147;Green Party,2547;People Party,2500;Democratic Party,1412","-0.595238095238095,3.37301587301587,3.96825396825397,7.34126984126984,20.8333333333333,0.793650793650794,448",,,,
2024-01-01 15:15:00,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/big-legal-question-2024-trump-criminal-trial-goes-first-rcna130467,big legal question 2024 trump criminal trial goes first rcna130467,"EPU_ECONOMY_HISTORIC,2087;EPU_ECONOMY_HISTORIC,2312;LEADER,202;LEADER,571;TAX_FNCACT_PRESIDENT,202;TAX_FNCACT_PRESIDENT,571;USPEC_POLITICS_GENERAL1,202;USPEC_POLITICS_GENERAL1,571;TAX_FNCACT_JUDGE,896;TAX_FNCACT_JUDGE,994;TRIAL,610;TRIAL,1664;TAKE_OFFICE,2486;CORRUPTION,2318;WB_2019_ANTI_CORRUPTION_LEGISLATION,2318;WB_696_PUBLIC_SECTOR_MANAGEMENT,2318;WB_831_GOVERNANCE,2318;WB_832_ANTI_CORRUPTION,2318;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,2318;SOC_GENERALCRIME,2057;SOC_GENERALCRIME,2670;TAX_FNCACT_CRIMINAL,171;TAX_FNCACT_CRIMINAL,313;TAX_FNCACT_CRIMINAL,605;TAX_FNCACT_CRIMINAL,2174;TAX_FNCACT_CRIMINAL,2238;TAX_FNCACT_CRIMINAL,2761;ELECTION,1772;ELECTION,1948;ELECTION,1987;DELAY,276;USPEC_UNCERTAINTY1,276;",,"Donald Trump,38;Jack Smith,1127;Tanya Chutkan,1008","Supreme Court,1091;Supreme Court,1535;Supreme Court,2545","-5.36779324055666,2.78330019880716,8.15109343936382,10.934393638171,26.0437375745527,0,458",,,,
2024-01-01 16:30:00,https://www.msnbc.com/ana-cabrera-reports/watch/japan-issues-tsunami-warning-after-series-of-earthquakes-are-reported-201187397604,japan issues tsunami warning after series of earthquakes are reported 201187397604,"NATURAL_DISASTER_TSUNAMI,40;TAX_FNCACT_OFFICIALS,9;NATURAL_DISASTER_EARTHQUAKES,71;CRISISLEX_T01_CAUTION_ADVICE,71;",1#Japan#JA#JA##36#138#JA#18,,,"-3.57142857142857,0,3.57142857142857,3.57142857142857,21.4285714285714,0,22",,,,
2024-01-01 20:15:00,https://www.msnbc.com/chris-jansing-reports/watch/israel-s-supreme-court-strikes-down-key-part-of-netanyahu-s-judicial-overhaul-201191493685,israel s supreme court strikes down key part of netanyahu s judicial overhaul 201191493685,"TAX_FNCACT_MINISTER,65;LEADER,65;TAX_FNCACT_PRIME_MINISTER,65;",1#Israel#IS#IS##31.5#34.75#IS#6,"Benjamin Netanyahu,84","Israel Supreme Court,20","0,4.34782608695652,4.34782608695652,8.69565217391304,43.4782608695652,0,18",,,,
2024-01-02 12:00:00,https://www.msnbc.com/opinion/msnbc-opinion/trump-speedy-trial-2024-supreme-court-judges-rcna131646,trump speedy trial 2024 supreme court judges rcna131646,"TAX_FNCACT_CRIMINAL,2430;TAX_FNCACT_CRIMINAL,3198;DISCRIMINATION,2051;TREASON,2791;TAX_FNCACT_INCUMBENT,4516;TAX_FNCACT_INCUMBENT,4890;TAX_WORLDMAMMALS_HUMAN,2113;DELAY,992;DELAY,1850;USPEC_UNCERTAINTY1,992;USPEC_UNCERTAINTY1,1850;TRIAL,1225;TAX_FNCACT_PROSECUTOR,1225;CRISISLEX_C07_SAFETY,1225;TAX_FNCACT_JUDGE,803;TAX_FNCACT_JUDGE,5237;TAX_FNCACT_WITCH,4694;TAX_FNCACT_CANDIDATE,373;TAX_FNCACT_CANDIDATE,3234;LEADER,353;LEADER,1125;TAX_FNCACT_PRESIDENT,353;TAX_FNCACT_PRESIDENT,1125;USPEC_POLITICS_GENERAL1,353;USPEC_POLITICS_GENERAL1,1125;WB_696_PUBLIC_SECTOR_MANAGEMENT,1255;WB_840_JUSTICE,1255;TAX_WORLDLANGUAGES_ALABAMA,1957;TAX_FNCACT_CHIEF,5092;TAX_MILITARY_TITLE_CHIEF_OF_STAFF,5101;TAX_FNCACT_CHIEF_OF_STAFF,5101;TAX_ETHNICITY_AMERICANS,9;TAX_ETHNICITY_AMERICANS,3286;TAX_ETHNICITY_AMERICANS,3509;TAX_FNCACT_TRIAL_JUDGE,803;CRISISLEX_CRISISLEXREC,4824;WB_2024_ANTI_CORRUPTION_AUTHORITIES,4646;WB_2025_INVESTIGATION,4646;WB_831_GOVERNANCE,4646;WB_832_ANTI_CORRUPTION,4646;PROTEST,3269;TAX_FNCACT_JUDGES,528;TAX_FNCACT_JUDGES,2098;ELECTION,2088;ELECTION,3143;WB_1014_CRIMINAL_JUSTICE,2443;UNGP_FORESTS_RIVERS_OCEANS,2133;TAX_FNCACT_CITIZENS,208;TAX_FNCACT_CITIZENS,3153;TAX_FNCACT_CITIZENS,5668;ECON_STOCKMARKET,4740;LEGISLATION,56;EPU_POLICY_LAW,56;CONSTITUTIONAL,2034;SOC_GENERALCRIME,3357;EPU_CATS_MIGRATION_FEAR_FEAR,3357;","2#Alabama, United States#US#USAL##32.799#-86.8073#AL#1957;2#Maine, United States#US#USME##44.6074#-69.3977#ME#2863;2#District Of Columbia, United States#US#USDC##38.8964#-77.0262#DC#3667;1#Americans#US#US##39.828175#-98.5795#US#9;1#Americans#US#US##39.828175#-98.5795#US#3286;1#Americans#US#US##39.828175#-98.5795#US#3509;2#Michigan, United States#US#USMI##43.3504#-84.5603#MI#2948;2#Minnesota, United States#US#USMN##45.7326#-93.9196#MN#2960;2#Florida, United States#US#USFL##27.8333#-81.717#FL#1438;2#Colorado, United States#US#USCO##39.0646#-105.327#CO#2849;2#Colorado, United States#US#USCO##39.0646#-105.327#CO#2997;2#California, United States#US#USCA##36.17#-119.746#CA#2937","Mark Meadows,5116;Donald Trump,386;Donald Trump,2472;Richard Nixon,1139;Justice William Rehnquist,1273","Oval Office,1189;Supreme Court,1107;Supreme Court,1922;Supreme Court,3034;Supreme Court,3913;Supreme Court,4088;Supreme Court,4564;Supreme Court,4938;Supreme Court,5460;Supreme Court,5529;Circuit Court,4989","-1.78217821782178,2.57425742574257,4.35643564356436,6.93069306930693,26.9306930693069,0.594059405940594,937",,,,
2024-01-02 13:45:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/republican-chatter-potential-pardons-trump-matters-rcna131838,republican chatter potential pardons trump matters rcna131838,"TAX_FNCACT_AMBASSADOR,255;SCANDAL,104;TAX_FNCACT_FELON,2243;TAX_POLITICAL_PARTY_REPUBLICAN,407;TAX_POLITICAL_PARTY_REPUBLICAN,732;TAX_POLITICAL_PARTY_REPUBLICAN,1534;TAX_POLITICAL_PARTY_REPUBLICAN,2925;TAX_ETHNICITY_AMERICANS,1456;TAX_ETHNICITY_AMERICANS,2014;TAX_FNCACT_WOMEN,339;SOC_GENERALCRIME,2395;SOC_GENERALCRIME,2860;TAX_FNCACT_MILITARY_MEN,331;USPEC_UNCERTAINTY1,1781;RETIREMENT,2158;WB_2690_CATEGORIES_OF_EMPLOYMENT,2158;WB_2670_JOBS,2158;WB_2689_JOBS_DIAGNOSTICS,2158;WB_2896_RETIREMENT,2158;ARREST,1161;SOC_POINTSOFINTEREST_JAIL,1161;TAX_FNCACT_MAN,1145;LEADER,75;LEADER,479;LEADER,1597;TAX_FNCACT_PRESIDENT,75;TAX_FNCACT_PRESIDENT,479;TAX_FNCACT_PRESIDENT,1597;USPEC_POLITICS_GENERAL1,75;USPEC_POLITICS_GENERAL1,479;USPEC_POLITICS_GENERAL1,1597;TAX_FNCACT_CANDIDATE,755;TAX_FNCACT_CHILD,1075;MEDIA_MSM,1678;EPU_POLICY_WHITE_HOUSE,518;EPU_POLICY_WHITE_HOUSE,2526;IDEOLOGY,1993;TAX_FNCACT_BOSS,183;TAX_FNCACT_LEADER,953;TAX_FNCACT_PRESIDENTS,2346;TAX_FNCACT_CANDIDATES,2675;ELECTION,2906;TRIAL,51;CRISISLEX_T11_UPDATESSYMPATHY,1688;SOC_PARDON,458;SOC_PARDON,777;SOC_PARDON,840;SOC_PARDON,1253;SOC_PARDON,1406;SOC_PARDON,1630;SOC_PARDON,2128;","1#Americans#US#US##39.828175#-98.5795#US#1456;1#Americans#US#US##39.828175#-98.5795#US#2014;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#518;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#2526;2#New Hampshire, United States#US#USNH##43.4108#-71.5653#NH#927;2#Florida, United States#US#USFL##27.8333#-81.717#FL#1523","Ron Desantis,1355;Gerald Ford,1623;Donald Trump,38;Donald Trump,790;Richard Nixon,1647;Nikki Haley,141;Nikki Haley,715","White House,518;White House,2526;Msnbc,565","-1.31578947368421,3.7593984962406,5.07518796992481,8.83458646616541,23.3082706766917,1.31578947368421,486",,,,
2024-01-02 15:45:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/ron-desantis-wants-fire-jack-smith-first-day-office-rcna131854,ron desantis wants fire jack smith first day office rcna131854,"TAX_POLITICAL_PARTY_REPUBLICAN,158;TAX_POLITICAL_PARTY_REPUBLICAN,678;USPEC_POLITICS_GENERAL1,158;USPEC_POLITICS_GENERAL1,678;TAX_FNCACT_SECRETARY_OF_STATE,898;TAX_FNCACT_SECRETARY,889;EPU_POLICY_POLITICAL,1498;TAX_POLITICAL_PARTY_DEMOCRAT,1326;SOC_GENERALCRIME,2351;TRIAL,2277;TAX_FNCACT_PROSECUTOR,2277;CRISISLEX_C07_SAFETY,2277;TAX_FNCACT_CANDIDATES,1071;LEADER,280;LEADER,376;LEADER,2844;TAX_FNCACT_PRESIDENT,280;TAX_FNCACT_PRESIDENT,376;TAX_FNCACT_PRESIDENT,2844;EXTREMISM,764;EXTREMISM,812;APPOINTMENT,2443;TAX_FNCACT_NOMINEE,1253;EPU_POLICY_WHITE_HOUSE,93;EPU_POLICY_WHITE_HOUSE,1118;EPU_POLICY_WHITE_HOUSE,2077;CORRUPTION,2484;CRISISLEX_T11_UPDATESSYMPATHY,1219;TAX_FNCACT_GOVERNOR,1619;TAX_FNCACT_GOVERNOR,2801;TAX_FNCACT_CANDIDATE,486;TAX_WORLDMAMMALS_FOX,526;TRANSPARENCY,1433;TAX_FNCACT_CONGRESSMAN,776;TAX_FNCACT_CONGRESSMAN,824;ELECTION,1392;","3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#93;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1118;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#2077;2#Florida, United States#US#USFL##27.8333#-81.717#FL#147;2#Florida, United States#US#USFL##27.8333#-81.717#FL#203;2#Floridian, United States#US#USFL##27.8333#-81.717#FL#1987;2#Maine, United States#US#USME##44.6074#-69.3977#ME#879","Ron Desantis,17;Ron Desantis,221;Jack Smith,323;Jack Smith,1570;Jason Chaffetz,561;Donald Trump,927;Donald Trump,2666","White House,93;White House,1118;White House,2077","-1.0183299389002,3.05498981670061,4.07331975560081,7.12830957230142,23.0142566191446,0.814663951120163,453",,,,
2024-01-02 16:15:00,https://www.msnbc.com/rachel-maddow-show/maddowblog/poll-points-improved-views-health-us-economy-rcna131845,poll points improved views health us economy rcna131845,"WB_2936_GOLD,1000;WB_507_ENERGY_AND_EXTRACTIVES,1000;WB_895_MINING_SYSTEMS,1000;WB_1699_METAL_ORE_MINING,1000;UNGP_FORESTS_RIVERS_OCEANS,927;WB_856_WAGES,424;WB_1654_ACTIVE_LABOR_MARKET_POLICIES,424;WB_855_LABOR_MARKETS,424;WB_697_SOCIAL_PROTECTION_AND_LABOR,424;ECON_STOCKMARKET,464;ECON_STOCKMARKET,1646;WB_2748_EMPLOYMENT,1622;LEADER,150;LEADER,1820;TAX_FNCACT_PRESIDENT,150;TAX_FNCACT_PRESIDENT,1820;USPEC_POLITICS_GENERAL1,150;USPEC_POLITICS_GENERAL1,1820;EPU_POLICY_WHITE_HOUSE,26;EPU_POLICY_WHITE_HOUSE,1733;EDUCATION,1328;EDUCATION,2149;EDUCATION,2411;SOC_POINTSOFINTEREST_UNIVERSITY,1328;SOC_POINTSOFINTEREST_UNIVERSITY,2149;SOC_POINTSOFINTEREST_UNIVERSITY,2411;ELECTION,2454;FUELPRICES,445;ECON_GASOLINEPRICE,445;ECON_HEATINGOIL,445;TAX_ECON_PRICE,445;TAX_POLITICAL_PARTY_DEMOCRAT,269;TAX_FNCACT_ATHLETE,987;TAX_ETHNICITY_AMERICANS,2535;EPU_POLICY_POLITICAL,52;EPU_POLICY_POLITICAL,1118;MEDIA_MSM,134;TAX_FNCACT_REPORTER,134;WB_471_ECONOMIC_GROWTH,387;SOC_POINTSOFINTEREST_HEADQUARTERS,2934;USPEC_POLICY1,89;USPEC_POLICY1,191;USPEC_POLICY1,572;USPEC_POLICY1,712;USPEC_POLICY1,1455;USPEC_POLICY1,1495;USPEC_POLICY1,1907;USPEC_POLICY1,2477;USPEC_POLICY1,2760;EPU_ECONOMY,89;EPU_ECONOMY,191;EPU_ECONOMY,572;EPU_ECONOMY,712;EPU_ECONOMY,1455;EPU_ECONOMY,1495;EPU_ECONOMY,1907;EPU_ECONOMY,2477;EPU_ECONOMY,2760;EPU_ECONOMY_HISTORIC,89;EPU_ECONOMY_HISTORIC,191;EPU_ECONOMY_HISTORIC,572;EPU_ECONOMY_HISTORIC,712;EPU_ECONOMY_HISTORIC,1455;EPU_ECONOMY_HISTORIC,1495;EPU_ECONOMY_HISTORIC,1907;EPU_ECONOMY_HISTORIC,2477;EPU_ECONOMY_HISTORIC,2760;UNEMPLOYMENT,369;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,369;WB_2670_JOBS,369;WB_2689_JOBS_DIAGNOSTICS,369;WB_2747_UNEMPLOYMENT,369;UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,369;TAX_POLITICAL_PARTY_DEMOCRATS,1181;TAX_FNCACT_OFFICIALS,36;TAX_ETHNICITY_AMERICAN,511;TAX_ETHNICITY_AMERICAN,2238;ECON_INFLATION,409;ECON_INFLATION,810;ECON_INFLATION,1634;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,409;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,810;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT,1634;WB_442_INFLATION,409;WB_442_INFLATION,810;WB_442_INFLATION,1634;","3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#612;1#American#US#US##39.828175#-98.5795#US#511;1#American#US#US##39.828175#-98.5795#US#2238;2#Michigan, United States#US#USMI##43.3504#-84.5603#MI#2161;1#Americans#US#US##39.828175#-98.5795#US#2535;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#26;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1733;1#United States#US#US##39.828175#-98.5795#US#627;1#United States#US#US##39.828175#-98.5795#US#1303","Joe Biden,160","White House,26;White House,1733;Quinnipiac University,2411;University Of Michigan,2161;United States Today Suffolk University Poll,1333","1.40845070422535,3.82293762575453,2.41448692152917,6.2374245472837,21.327967806841,0.201207243460765,462",,,,
2024-01-02 16:15:00,https://www.msnbc.com/morning-joe/watch/five-coast-guard-members-die-in-plane-fire-in-tokyo-201214021648,five coast guard members die in plane fire in tokyo 201214021648,"SOC_POINTSOFINTEREST_AIRPORT,119;WB_135_TRANSPORT,119;WB_1803_TRANSPORT_INFRASTRUCTURE,119;WB_1804_AIRPORTS,119;TAX_FNCACT_CREW_MEMBERS,194;KILL,247;CRISISLEX_CRISISLEXREC,247;CRISISLEX_T02_INJURED,247;CRISISLEX_T03_DEAD,247;MANMADE_DISASTER_IMPLIED,316;AFFECT,301;EVACUATION,301;CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED,301;DISASTER_FIRE,76;TAX_FNCACT_GUARD,160;TAX_FNCACT_GUARD,213;SOC_USSECURITYAGENCIES,160;SOC_USSECURITYAGENCIES,213;","1#Japan#JA#JA##36#138#JA#7;1#Japan#JA#JA##36#138#JA#111;1#Japan#JA#JA##36#138#JA#148;4#Haneda, Wakayama, Japan#JA#JA43#36528#33.75#135.333#-228452#104",,"A Japan Airlines,16","-6.66666666666667,0,6.66666666666667,6.66666666666667,31.6666666666667,0,54",,,,
