media,month,gdelt_tone
abc,2015-02,-2.8853049006343925
abc,2015-03,-2.876778557026843
abc,2015-04,-2.966377719196373
abc,2015-05,-3.123534620669469
abc,2015-06,-2.87265710961532
abc,2015-07,-2.9001611808929173
abc,2015-08,-3.3429509190131874
abc,2015-09,-2.907180027427282
abc,2015-10,-3.1105199244732504
abc,2015-11,-3.2212100089264837
abc,2015-12,-3.0220859781476297
abc,2016-01,-2.807288499215603
abc,2016-02,-3.116950726562196
abc,2016-03,-3.219926380429913
abc,2016-04,-2.9992827598773952
abc,2016-05,-2.7377568388248634
abc,2016-06,-2.8267264249445065
abc,2016-07,-2.9811631465381807
abc,2016-08,-3.467926590911177
abc,2016-09,-3.07580601748405
abc,2016-10,-3.228937242304666
abc,2016-11,-3.1003688738313473
abc,2016-12,-3.2336404027364116
abc,2017-01,-2.962861268361061
abc,2017-02,-3.0127764180495475
abc,2017-03,-3.088846988756311
abc,2017-04,-3.091344383275696
abc,2017-05,-3.1335519896523465
abc,2017-06,-3.246314884309081
abc,2017-07,-3.0055827568200972
abc,2017-08,-3.2725832688836944
abc,2017-09,-3.0733587633771227
abc,2017-10,-3.1066983702185333
abc,2017-11,-3.0754794618049557
abc,2017-12,-3.4331840636354185
abc,2018-01,-3.0215284827384656
abc,2018-02,-3.302524769936072
abc,2018-03,-2.910693934102417
abc,2018-04,-3.191301839616072
abc,2018-05,-2.850304311629215
abc,2018-06,-2.8969541213678376
abc,2018-07,-3.0411835627268378
abc,2018-08,-3.3503236831891403
abc,2018-09,-3.3212585642049657
abc,2018-10,-2.967813155495847
abc,2018-11,-2.687230503469837
abc,2018-12,-3.0247378112073533
abc,2019-01,-3.0699649833689215
abc,2019-02,-2.321065731854014
abc,2019-03,-2.774322526686258
abc,2019-04,-3.87443761028997
abc,2019-05,-3.7566863802456667
abc,2019-06,-3.743495608387612
abc,2019-07,-3.4863022664855
abc,2019-08,-4.091119069172117
abc,2019-09,-3.5780862814170717
abc,2019-10,-3.335722762497424
abc,2019-11,-3.6208917750371366
abc,2019-12,-3.362068992169479
abc,2020-01,-3.2779114781222387
abc,2020-02,-3.378101386314507
abc,2020-03,-2.970088658383357
abc,2020-04,-2.731094919884298
abc,2020-05,-3.0340603716788785
abc,2020-06,-3.6329041879555795
abc,2020-07,-3.4091916459018146
abc,2020-08,-3.426781809734136
abc,2020-09,-3.269680947978015
