month,year,topic,topic_id,rank,count,total_articles,percentage
2,2015,man death snow,7,1,181,1000,18.099999999999998
2,2015,case prison texas,9,2,160,1000,16.0
2,2015,house white security,8,3,149,1000,14.899999999999999
3,2015,house white gop,8,1,269,1000,26.900000000000002
3,2015,killed dies year,3,2,171,1000,17.1
3,2015,man death trial,2,3,148,1000,14.799999999999999
4,2015,man guilty pleads,3,1,175,1000,17.5
4,2015,case baltimore court,5,2,171,1000,17.1
4,2015,police shot officer,0,3,145,1000,14.499999999999998
5,2015,obama court latest,9,1,519,1000,51.9
5,2015,california oil woman,7,2,108,1000,10.8
5,2015,man tv killing,4,3,94,1000,9.4
6,2015,trade obama president,5,1,227,1000,22.7
6,2015,man year killing,8,2,190,1000,19.0
6,2015,oil california spill,9,3,137,1000,13.700000000000001
7,2015,home shark south,9,1,196,1000,19.6
7,2015,woman latest death,7,2,178,1000,17.8
7,2015,man court accused,5,3,132,1000,13.200000000000001
8,2015,case court latest,4,1,217,1000,21.7
8,2015,dead missing china,5,2,134,1000,13.4
8,2015,killed yemen crash,8,3,125,1000,12.5
9,2015,death case set,6,1,208,1000,20.8
9,2015,california latest home,9,2,166,1000,16.6
9,2015,trump house white,8,3,154,1000,15.4
10,2015,killed syria shooting,6,1,202,1000,20.200000000000003
10,2015,debate ap gop,3,2,141,1000,14.099999999999998
10,2015,china time charges,7,3,128,1000,12.8
11,2015,debate candidates gop,7,1,191,1000,19.1
11,2015,killed attack shooting,9,2,137,1000,13.700000000000001
11,2015,man accused guilty,3,3,123,1000,12.3
12,2015,latest case court,3,1,174,1000,17.4
12,2015,police officer shot,1,2,137,1000,13.700000000000001
12,2015,man years killing,6,3,134,1000,13.4
1,2016,case school court,6,1,212,1000,21.2
1,2016,police man dead,3,2,149,1000,14.899999999999999
1,2016,president obama state,4,3,115,1000,11.5
2,2016,police man death,2,1,278,1000,27.800000000000004
2,2016,latest 2016 syrian,0,2,144,1000,14.399999999999999
2,2016,zika zika virus virus,8,3,141,1000,14.099999999999998
3,2016,killed year woman,8,1,177,1000,17.7
3,2016,case court guilty,6,2,166,1000,16.6
3,2016,latest migrants greece,2,3,143,1000,14.299999999999999
4,2016,police attack dead,5,1,205,1000,20.5
4,2016,north law carolina,9,2,170,1000,17.0
4,2016,case judge court,6,3,164,1000,16.400000000000002
5,2016,state shooting killed,4,1,217,1000,21.7
5,2016,man death court,7,2,147,1000,14.7
5,2016,obama president hiroshima,9,3,130,1000,13.0
6,2016,trial court judge,6,1,152,1000,15.2
6,2016,police dead officer,8,2,142,1000,14.2
6,2016,vote eu brexit,7,3,134,1000,13.4
7,2016,latest california vp,3,1,167,1000,16.7
7,2016,killed attack nice,9,2,162,1000,16.2
7,2016,man shot arrested,8,3,158,1000,15.8
8,2016,school case judge,8,1,231,1000,23.1
8,2016,police shooting killed,4,2,159,1000,15.9
8,2016,dead home woman,7,3,136,1000,13.600000000000001
9,2016,south home house,9,1,234,1000,23.400000000000002
9,2016,court case supreme,7,2,134,1000,13.4
9,2016,police shooting police shooting,1,3,124,1000,12.4
10,2016,court case death,9,1,222,1000,22.2
10,2016,police shooting officer,2,2,195,1000,19.5
10,2016,clinton campaign trump clinton,8,3,150,1000,15.0
11,2016,police man shot,1,1,190,1000,19.0
11,2016,latest school japan,5,2,174,1000,17.4
11,2016,south leader korean,6,3,141,1000,14.099999999999998
12,2016,man charged death,4,1,156,1000,15.6
12,2016,president years obama,9,2,147,1000,14.7
12,2016,christmas woman military,8,3,133,1000,13.3
1,2017,woman killed shooting,9,1,233,1000,23.3
1,2017,trump ban melania,0,2,178,1000,17.8
1,2017,man police accused,1,3,135,1000,13.5
2,2017,court security case,8,1,294,1000,29.4
2,2017,police man shooting,3,2,175,1000,17.5
2,2017,trump leader speech,0,3,150,1000,15.0
3,2017,court case state,7,1,218,1000,21.8
3,2017,man dies year,5,2,169,1000,16.900000000000002
3,2017,dead injured officials,9,3,127,1000,12.7
4,2017,man florida south,7,1,189,1000,18.9
4,2017,police suspect death,3,2,165,1000,16.5
4,2017,latest russian officers,1,3,125,1000,12.5
5,2017,woman case death,9,1,178,1000,17.8
5,2017,latest latest trump syria,2,2,162,1000,16.2
5,2017,year killed job,6,3,128,1000,12.8
6,2017,man shot charged,3,1,184,1000,18.4
6,2017,latest latest trump london,2,2,154,1000,15.4
6,2017,court ban travel,6,3,136,1000,13.600000000000001
7,2017,police killed officer,7,1,211,1000,21.099999999999998
7,2017,court law battle,9,2,148,1000,14.799999999999999
7,2017,man charged california,2,3,130,1000,13.0
8,2017,man year charged,6,1,197,1000,19.7
8,2017,killed attack afghanistan,9,2,181,1000,18.099999999999998
8,2017,latest venezuela vote,1,3,138,1000,13.8
9,2017,man dies year,9,1,372,1000,37.2
9,2017,trump tax plan,1,2,107,1000,10.7
9,2017,latest shooting best,2,3,105,1000,10.5
10,2017,police man maryland,4,1,186,1000,18.6
10,2017,killed crash north,8,2,152,1000,15.2
10,2017,court eu appeals,6,3,150,1000,15.0
11,2017,trump asia latest trump,3,1,159,1000,15.9
11,2017,texas shooting church,4,2,153,1000,15.299999999999999
11,2017,tax plan gop,5,3,142,1000,14.2
12,2017,trump alabama senate,1,1,195,1000,19.5
12,2017,latest california pope,3,2,183,1000,18.3
12,2017,woman death dies,8,3,156,1000,15.6
1,2018,years official make,9,1,183,1000,18.3
1,2018,police man dead,3,2,172,1000,17.2
1,2018,government house shutdown,5,3,121,1000,12.1
2,2018,man woman death,9,1,220,1000,22.0
2,2018,south korea south korea,5,2,139,1000,13.900000000000002
2,2018,police officers police officers,3,3,122,1000,12.2
3,2018,man florida killed,9,1,167,1000,16.7
3,2018,south korean north,5,2,163,1000,16.3
3,2018,house white white house,6,3,141,1000,14.099999999999998
4,2018,man police case,1,1,163,1000,16.3
4,2018,court supreme supreme court,9,2,162,1000,16.2
4,2018,trump border korea,3,3,160,1000,16.0
5,2018,man police shooting,4,1,334,1000,33.4
5,2018,china talks korea,8,2,231,1000,23.1
5,2018,latest black latest trump,3,3,111,1000,11.1
6,2018,man police killed,6,1,217,1000,21.7
6,2018,latest migrants time,2,2,148,1000,14.799999999999999
