month,year,topic,topic_id,rank,count,total_articles,percentage
1,2016,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,265,1000,26.5
1,2016,isis algerian / feds thwart / rail strike reforms,0,2,134,1000,13.4
1,2016,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,83,1000,8.3
1,2017,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,327,1000,32.7
1,2017,isis algerian / feds thwart / rail strike reforms,0,2,143,1000,14.299999999999999
1,2017,ford csx / download ny payphones / jobs jobless rate,2,3,58,1000,5.800000000000001
1,2018,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,254,1000,25.4
1,2018,isis algerian / feds thwart / rail strike reforms,0,2,156,1000,15.6
1,2018,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,54,1000,5.4
1,2019,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,219,1000,21.9
1,2019,isis algerian / feds thwart / rail strike reforms,0,2,166,1000,16.6
1,2019,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,58,1000,5.800000000000001
1,2020,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,222,1000,22.2
1,2020,isis algerian / feds thwart / rail strike reforms,0,2,159,1000,15.9
1,2020,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,85,1000,8.5
1,2021,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,198,1000,19.8
1,2021,countries zika outbreaks / counter chinese assertiveness / united american offering,1,2,189,1000,18.9
1,2021,isis algerian / feds thwart / rail strike reforms,0,3,132,1000,13.200000000000001
1,2022,isis algerian / feds thwart / rail strike reforms,0,1,186,1000,18.6
1,2022,cops death 36092605 / suffocating son couch / cosbys wife denied,5,2,183,1000,18.3
1,2022,countries zika outbreaks / counter chinese assertiveness / united american offering,1,3,115,1000,11.5
1,2023,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,221,1000,22.1
1,2023,isis algerian / feds thwart / rail strike reforms,0,2,193,1000,19.3
1,2023,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,76,1000,7.6
1,2024,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,318,1000,31.8
1,2024,isis algerian / feds thwart / rail strike reforms,0,2,146,1000,14.6
1,2024,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,70,1000,7.000000000000001
1,2025,cops death 36092605 / suffocating son couch / cosbys wife denied,5,1,277,1000,27.700000000000003
1,2025,isis algerian / feds thwart / rail strike reforms,0,2,118,1000,11.799999999999999
1,2025,bieber hailey baldwin / movingly fatherhood changed / lawn ladys grassy,3,3,69,1000,6.9
2,2015,american sniper murder / ease gender switch / minaj tour members,1,1,311,1000,31.1
2,2015,bronies brooklyn ponycon / oscars 2014 results / show 29122196 spirit,3,2,102,1000,10.2
2,2015,president obama isis / socialist rebellion puts / swedish journalist released,5,3,55,1000,5.5
2,2016,american sniper murder / ease gender switch / minaj tour members,1,1,354,1000,35.4
2,2016,bronies brooklyn ponycon / oscars 2014 results / show 29122196 spirit,3,2,81,1000,8.1
2,2016,president obama isis / socialist rebellion puts / swedish journalist released,5,3,48,1000,4.8
2,2017,american sniper murder / ease gender switch / minaj tour members,1,1,326,1000,32.6
2,2017,bronies brooklyn ponycon / oscars 2014 results / show 29122196 spirit,3,2,91,1000,9.1
2,2017,president obama isis / socialist rebellion puts / swedish journalist released,5,3,56,1000,5.6000000000000005
2,2018,american sniper murder / ease gender switch / minaj tour members,1,1,333,1000,33.300000000000004
2,2018,bronies brooklyn ponycon / oscars 2014 results / show 29122196 spirit,3,2,55,1000,5.5
