month,year,topic,topic_id,rank,count,total_articles,percentage,source
2,2015,says study women,3,1,149,1000,14.899999999999999,fox
2,2015,mexico world goes,9,2,114,1000,11.4,fox
2,2015,state islamic secretary,7,3,114,1000,11.4,fox
3,2015,police officer say,7,1,227,1000,22.7,fox
3,2015,says killed john,5,2,171,1000,17.1,fox
3,2015,clinton hillary state,2,3,97,1000,9.700000000000001,fox
4,2015,says man report,5,1,187,1000,18.7,fox
4,2015,day news end,9,2,142,1000,14.2,fox
4,2015,woman flight case,7,3,139,1000,13.900000000000002,fox
5,2015,california judge sex,7,1,198,1000,19.8,fox
5,2015,says president china,1,2,139,1000,13.900000000000002,fox
5,2015,new new york york,2,3,117,1000,11.700000000000001,fox
6,2015,man arrested murder,7,1,194,1000,19.400000000000002,fox
6,2015,ways make life,8,2,164,1000,16.400000000000002,fox
6,2015,says report report says,3,3,117,1000,11.700000000000001,fox
7,2015,police man say,2,1,208,1000,20.8,fox
7,2015,says ruling dead,5,2,169,1000,16.900000000000002,fox
7,2015,year old year old,7,3,125,1000,12.5,fox
8,2015,man charged old,8,1,205,1000,20.5,fox
8,2015,state killed islamic,9,2,189,1000,18.9,fox
8,2015,new dies mexico,5,3,124,1000,12.4,fox
9,2015,says study women,5,1,180,1000,18.0,fox
9,2015,police say police say,8,2,175,1000,17.5,fox
9,2015,new new york york,3,3,131,1000,13.100000000000001,fox
10,2015,man police state,7,1,367,1000,36.7,fox
10,2015,new york new york,6,2,127,1000,12.7,fox
10,2015,clinton debate hillary,9,3,108,1000,10.8,fox
11,2015,police man killed,4,1,200,1000,20.0,fox
11,2015,html thankful health,0,2,144,1000,14.399999999999999,fox
11,2015,says latest leader,3,3,134,1000,13.4,fox
12,2015,html woman latest,0,1,278,1000,27.800000000000004,fox
12,2015,man accused man accused,6,2,113,1000,11.3,fox
12,2015,says star wars,7,3,100,1000,10.0,fox
1,2016,html real court,0,1,465,1000,46.5,fox
1,2016,man police accused,4,2,109,1000,10.9,fox
1,2016,new york new york,5,3,81,1000,8.1,fox
2,2016,html woman official,0,1,458,1000,45.800000000000004,fox
2,2016,new hampshire new hampshire,3,2,74,1000,7.3999999999999995,fox
2,2016,man arrested killed,9,3,73,1000,7.3,fox
3,2016,html california deal,0,1,399,1000,39.900000000000006,fox
3,2016,man police say,4,2,91,1000,9.1,fox
3,2016,trump donald donald trump,2,3,87,1000,8.7,fox
4,2016,html china school,0,1,469,1000,46.9,fox
4,2016,says man says html,6,2,123,1000,12.3,fox
4,2016,police protesters suspect,7,3,98,1000,9.8,fox
5,2016,html business president,0,1,507,1000,50.7,fox
5,2016,man charged man charged,9,2,106,1000,10.6,fox
5,2016,trump clinton donald,2,3,89,1000,8.9,fox
6,2016,html business latest,0,1,461,1000,46.1,fox
