month,year,topic,topic_id,rank,count,total_articles,percentage,source
1,2016,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,805,1000,80.5,fox
1,2016,deadly flu outbreak / lands california / elephants html photo,0,2,5,1000,0.5,fox
1,2017,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,877,1000,87.7,fox
1,2017,deadly flu outbreak / lands california / elephants html photo,0,2,5,1000,0.5,fox
1,2018,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,916,1000,91.60000000000001,fox
1,2018,deadly flu outbreak / lands california / elephants html photo,0,2,7,1000,0.7000000000000001,fox
1,2019,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,756,1000,75.6,fox
1,2019,deadly flu outbreak / lands california / elephants html photo,0,2,11,1000,1.0999999999999999,fox
1,2020,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,782,1000,78.2,fox
1,2020,deadly flu outbreak / lands california / elephants html photo,0,2,37,1000,3.6999999999999997,fox
1,2021,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,634,1000,63.4,fox
1,2021,deadly flu outbreak / lands california / elephants html photo,0,2,110,1000,11.0,fox
1,2022,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,643,1000,64.3,fox
1,2022,deadly flu outbreak / lands california / elephants html photo,0,2,114,1000,11.4,fox
1,2023,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,759,1000,75.9,fox
1,2023,deadly flu outbreak / lands california / elephants html photo,0,2,26,1000,2.6,fox
1,2024,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,805,1000,80.5,fox
1,2024,deadly flu outbreak / lands california / elephants html photo,0,2,13,1000,1.3,fox
1,2025,offensive benghazi victims / shiite cleric death / trainer autumn calabrese,1,1,750,1000,75.0,fox
1,2025,deadly flu outbreak / lands california / elephants html photo,0,2,13,1000,1.3,fox
2,2015,improving lady gaga / ash wednesday diet / weds bride hospital,3,1,139,1000,13.900000000000002,fox
2,2015,abuse case detroit / penguins eat fish / capture daredevils stunning,5,2,127,1000,12.7,fox
2,2015,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,3,111,1000,11.1,fox
2,2016,headed syria isis / gunfire rock hotel / 30 patients,6,1,163,1000,16.3,fox
2,2016,abuse case detroit / penguins eat fish / capture daredevils stunning,5,2,157,1000,15.7,fox
2,2016,improving lady gaga / ash wednesday diet / weds bride hospital,3,3,125,1000,12.5,fox
2,2017,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,1,172,1000,17.2,fox
2,2017,abuse case detroit / penguins eat fish / capture daredevils stunning,5,2,128,1000,12.8,fox
2,2017,improving lady gaga / ash wednesday diet / weds bride hospital,3,3,126,1000,12.6,fox
2,2018,abuse case detroit / penguins eat fish / capture daredevils stunning,5,1,205,1000,20.5,fox
2,2018,headed syria isis / gunfire rock hotel / 30 patients,6,2,175,1000,17.5,fox
2,2018,improving lady gaga / ash wednesday diet / weds bride hospital,3,3,103,1000,10.299999999999999,fox
2,2019,abuse case detroit / penguins eat fish / capture daredevils stunning,5,1,150,1000,15.0,fox
2,2019,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,2,132,1000,13.200000000000001,fox
2,2019,improving lady gaga / ash wednesday diet / weds bride hospital,3,3,124,1000,12.4,fox
2,2020,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,1,324,1000,32.4,fox
2,2020,improving lady gaga / ash wednesday diet / weds bride hospital,3,2,147,1000,14.7,fox
2,2020,abuse case detroit / penguins eat fish / capture daredevils stunning,5,3,102,1000,10.2,fox
2,2021,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,1,221,1000,22.1,fox
2,2021,improving lady gaga / ash wednesday diet / weds bride hospital,3,2,116,1000,11.600000000000001,fox
2,2021,ebola quarantine success / deaths record increase / us,0,3,107,1000,10.7,fox
2,2022,christie jeb bush / ruling obama immigration / unemployment benefits fall,2,1,164,1000,16.400000000000002,fox
